Rok,Měsíc,Stanice,Precipitations_max,Precipitations_sum,Snow_max,Snow_sum,Snow_height_max,Sunshine_max,Sunshine_sum,Temperatures_min,Temperatures_max,Temperatures_avg,Wind_min,Wind_max,Wind_avg,Arctic_days,Ice_days,Summer_days,Tropical_days
1961,leden,Brno - Tuřany,8.5,15.9,4.0,7.0,7.0,7.6,83.7,-10.3,2.1,-3.1,0.0,7.7,3.0,0.0,13.0,0.0,0.0
1961,únor,Brno - Tuřany,7.3,18.2,3.0,6.0,3.0,6.7,44.4,-3.3,4.7,2.1,0.0,7.0,2.5,0.0,0.0,0.0,0.0
1961,březen,Brno - Tuřany,1.5,5.6,0.0,0.0,0.0,10.2,151.9,-0.4,11.4,6.4,0.3,11.0,4.1,0.0,0.0,0.0,0.0
1961,duben,Brno - Tuřany,23.0,29.1,0.0,0.0,0.0,12.8,209.0,6.0,17.2,11.8,0.7,8.0,3.6,0.0,0.0,0.0,0.0
1961,květen,Brno - Tuřany,23.9,73.5,0.0,0.0,0.0,12.0,202.0,8.1,17.9,12.2,0.0,9.0,3.0,0.0,0.0,0.0,0.0
1961,červen,Brno - Tuřany,15.6,54.1,0.0,0.0,0.0,15.0,243.2,13.7,24.0,18.0,0.3,9.0,2.5,0.0,0.0,10.0,1.0
1961,červenec,Brno - Tuřany,13.1,53.6,0.0,0.0,0.0,14.7,219.2,12.8,24.5,16.7,0.3,6.7,2.7,0.0,0.0,8.0,2.0
1961,srpen,Brno - Tuřany,6.8,24.5,0.0,0.0,0.0,13.8,249.6,12.0,26.0,17.9,0.0,5.0,2.4,0.0,0.0,15.0,3.0
1961,září,Brno - Tuřany,9.9,19.7,0.0,0.0,0.0,12.5,222.4,12.1,21.6,16.5,0.7,5.0,2.3,0.0,0.0,12.0,0.0
1961,říjen,Brno - Tuřany,22.2,54.7,0.0,0.0,0.0,9.5,101.2,7.0,16.2,10.9,0.7,11.0,3.5,0.0,0.0,0.0,0.0
1961,listopad,Brno - Tuřany,20.3,51.1,0.0,0.0,0.0,6.7,54.8,-2.3,9.3,3.8,0.0,7.3,2.7,0.0,0.0,0.0,0.0
1961,prosinec,Brno - Tuřany,14.6,30.3,3.0,6.0,3.0,6.8,49.7,-14.3,9.1,-2.4,0.0,8.0,3.3,1.0,15.0,0.0,0.0
1961,rok,Brno - Tuřany,23.9,430.3,4.0,19.0,7.0,15.0,1831.1,-14.3,26.0,9.2,0.0,11.0,3.0,,,,
1962,leden,Brno - Tuřany,11.7,23.3,2.0,5.0,3.0,6.8,59.9,-7.6,3.3,-1.1,0.3,10.0,3.4,0.0,12.0,0.0,0.0
1962,únor,Brno - Tuřany,8.4,23.6,8.0,28.0,8.0,7.3,53.2,-9.2,4.4,-1.3,0.3,16.7,4.9,0.0,9.0,0.0,0.0
1962,březen,Brno - Tuřany,12.8,48.7,7.0,19.0,7.0,10.5,98.8,-5.0,11.1,0.2,0.3,13.3,3.6,0.0,5.0,0.0,0.0
1962,duben,Brno - Tuřany,12.0,37.8,0.0,0.0,0.0,12.7,178.5,3.4,19.5,10.4,0.7,13.0,4.6,0.0,0.0,7.0,0.0
1962,květen,Brno - Tuřany,43.8,117.8,0.0,0.0,0.0,14.1,169.6,4.0,17.4,11.5,0.3,7.3,3.1,0.0,0.0,1.0,0.0
1962,červen,Brno - Tuřany,16.6,31.0,0.0,0.0,0.0,14.7,262.5,6.6,24.7,15.5,0.7,7.7,3.5,0.0,0.0,9.0,2.0
1962,červenec,Brno - Tuřany,10.4,42.0,0.0,0.0,0.0,14.4,240.8,10.5,24.3,16.8,0.7,5.7,2.6,0.0,0.0,10.0,1.0
1962,srpen,Brno - Tuřany,9.6,16.9,0.0,0.0,0.0,12.4,271.9,14.1,23.7,18.8,0.3,7.3,2.3,0.0,0.0,17.0,6.0
1962,září,Brno - Tuřany,20.0,36.6,0.0,0.0,0.0,11.7,185.5,7.7,22.0,12.9,0.0,5.7,2.7,0.0,0.0,3.0,1.0
1962,říjen,Brno - Tuřany,21.5,39.2,0.0,0.0,0.0,9.3,165.1,2.1,15.2,8.9,0.0,7.3,2.3,0.0,0.0,0.0,0.0
1962,listopad,Brno - Tuřany,19.0,84.2,1.0,2.0,1.0,4.9,19.8,-1.7,11.5,3.8,0.0,10.0,3.7,0.0,0.0,0.0,0.0
1962,prosinec,Brno - Tuřany,11.8,22.1,14.0,27.0,14.0,7.4,37.1,-13.7,2.6,-4.5,0.0,8.3,3.3,1.0,17.0,0.0,0.0
1962,rok,Brno - Tuřany,43.8,523.2,14.0,81.0,14.0,14.7,1742.7,-13.7,24.7,7.7,0.0,16.7,3.3,,,,
1963,leden,Brno - Tuřany,4.5,21.3,9.0,29.0,14.0,7.0,51.0,-14.5,0.6,-8.2,0.7,8.0,3.5,1.0,27.0,0.0,0.0
1963,únor,Brno - Tuřany,13.4,17.7,23.0,28.0,45.0,9.0,71.5,-14.9,0.4,-6.1,0.0,8.0,2.8,1.0,19.0,0.0,0.0
1963,březen,Brno - Tuřany,12.8,31.0,1.0,2.0,12.0,9.2,117.9,-10.7,6.6,0.8,0.0,8.3,2.8,0.0,2.0,0.0,0.0
1963,duben,Brno - Tuřany,15.5,26.6,0.0,0.0,0.0,11.3,162.6,0.5,16.1,9.9,1.0,8.3,3.8,0.0,0.0,0.0,0.0
1963,květen,Brno - Tuřany,26.7,83.6,0.0,0.0,0.0,14.2,208.5,6.4,19.6,14.1,0.3,5.7,2.7,0.0,0.0,3.0,0.0
1963,červen,Brno - Tuřany,29.0,88.1,0.0,0.0,0.0,14.7,235.1,11.5,25.5,17.6,0.0,6.3,3.0,0.0,0.0,11.0,1.0
1963,červenec,Brno - Tuřany,4.0,11.3,0.0,0.0,0.0,13.9,280.8,14.4,25.4,19.8,0.7,5.7,2.4,0.0,0.0,21.0,6.0
1963,srpen,Brno - Tuřany,32.5,105.5,0.0,0.0,0.0,13.3,202.5,12.0,27.1,18.5,0.7,7.0,3.2,0.0,0.0,13.0,6.0
1963,září,Brno - Tuřany,27.9,56.5,0.0,0.0,0.0,10.1,163.6,7.9,19.4,15.4,0.7,8.0,3.1,0.0,0.0,4.0,0.0
1963,říjen,Brno - Tuřany,8.1,17.9,0.0,0.0,0.0,9.3,120.7,3.7,12.2,8.5,0.0,8.0,2.9,0.0,0.0,0.0,0.0
1963,listopad,Brno - Tuřany,8.0,31.1,0.0,0.0,0.0,7.5,66.4,1.9,14.1,6.8,0.0,9.3,3.5,0.0,0.0,0.0,0.0
1963,prosinec,Brno - Tuřany,2.4,5.1,4.0,6.0,4.0,7.0,61.9,-11.6,1.4,-5.1,0.0,6.3,2.4,1.0,24.0,0.0,0.0
1963,rok,Brno - Tuřany,32.5,495.7,23.0,65.0,45.0,14.7,1742.5,-14.9,27.1,7.7,0.0,9.3,3.0,,,,
1964,leden,Brno - Tuřany,1.0,1.8,2.0,4.0,2.0,6.8,42.5,-12.3,0.9,-6.1,0.0,6.0,2.8,0.0,24.0,0.0,0.0
1964,únor,Brno - Tuřany,3.5,9.8,4.0,6.0,4.0,8.5,72.1,-8.5,5.4,-1.0,0.7,9.3,5.2,0.0,6.0,0.0,0.0
1964,březen,Brno - Tuřany,8.5,34.4,2.0,2.0,2.0,9.8,73.1,-8.1,7.4,0.1,0.0,10.0,4.5,0.0,7.0,0.0,0.0
1964,duben,Brno - Tuřany,5.9,16.8,0.0,0.0,0.0,13.1,195.9,3.2,16.4,10.2,1.0,10.7,4.7,0.0,0.0,0.0,0.0
1964,květen,Brno - Tuřany,17.7,58.4,0.0,0.0,0.0,13.7,246.7,8.5,19.5,13.9,0.7,6.7,3.5,0.0,0.0,3.0,0.0
1964,červen,Brno - Tuřany,8.6,43.4,0.0,0.0,0.0,14.6,249.4,11.5,23.7,19.4,0.7,7.0,3.4,0.0,0.0,14.0,1.0
1964,červenec,Brno - Tuřany,17.2,53.6,0.0,0.0,0.0,13.5,275.1,11.9,25.3,19.3,1.0,5.0,2.8,0.0,0.0,19.0,5.0
1964,srpen,Brno - Tuřany,28.4,80.4,0.0,0.0,0.0,12.2,213.6,11.1,22.9,16.9,0.7,7.0,3.7,0.0,0.0,11.0,0.0
1964,září,Brno - Tuřany,6.4,18.3,0.0,0.0,0.0,11.9,193.3,7.8,20.5,14.3,0.3,8.7,3.5,0.0,0.0,4.0,0.0
1964,říjen,Brno - Tuřany,25.3,109.5,0.0,0.0,0.0,9.9,100.7,4.0,13.7,8.3,0.7,9.0,4.5,0.0,0.0,0.0,0.0
1964,listopad,Brno - Tuřany,2.6,12.4,0.0,0.0,0.0,7.5,50.6,0.9,11.5,4.8,0.3,7.7,3.8,0.0,0.0,0.0,0.0
1964,prosinec,Brno - Tuřany,4.9,26.8,8.0,21.0,16.0,5.1,18.9,-7.6,3.3,-1.3,0.3,6.7,3.2,0.0,15.0,0.0,0.0
1964,rok,Brno - Tuřany,28.4,465.6,8.0,33.0,16.0,14.6,1731.9,-12.3,25.3,8.2,0.0,10.7,3.8,,,,
1965,leden,Brno - Tuřany,7.2,32.8,10.0,41.0,18.0,6.8,33.0,-5.3,2.0,-1.1,0.0,9.0,3.6,0.0,7.0,0.0,0.0
1965,únor,Brno - Tuřany,2.4,7.4,4.0,15.0,9.0,9.2,78.1,-9.0,1.8,-3.4,0.3,11.7,4.5,0.0,14.0,0.0,0.0
1965,březen,Brno - Tuřany,10.0,23.7,14.0,19.0,18.0,10.8,127.4,-4.4,9.7,2.5,0.0,7.3,3.5,0.0,1.0,0.0,0.0
