Rok,Měsíc,Stanice,Precipitations_max,Precipitations_sum,Snow_height_max,Sunshine_sum,Temperatures_avg,Temperatures_max_max,Temperatures_min_min,Wind_avg,Arctic_days,Ice_days,Summer_days,Tropical_days
1961,leden,Brno - Tuřany,8.5,15.9,7.0,83.7,-3.1,7.0,-16.2,3.0,0.0,13.0,0.0,0.0
1961,únor,Brno - Tuřany,7.3,18.2,3.0,44.4,2.1,10.0,-8.4,2.5,0.0,0.0,0.0,0.0
1961,březen,Brno - Tuřany,1.5,5.6,0.0,151.9,6.4,21.2,-3.6,4.1,0.0,0.0,0.0,0.0
1961,duben,Brno - Tuřany,23.0,29.1,0.0,209.0,11.8,24.3,0.0,3.6,0.0,0.0,0.0,0.0
1961,květen,Brno - Tuřany,23.9,73.5,0.0,202.0,12.2,24.7,1.8,3.0,0.0,0.0,0.0,0.0
1961,červen,Brno - Tuřany,15.6,54.1,0.0,243.2,18.0,30.3,7.7,2.5,0.0,0.0,10.0,1.0
1961,červenec,Brno - Tuřany,13.1,53.6,0.0,219.2,16.7,32.0,6.5,2.7,0.0,0.0,8.0,2.0
1961,srpen,Brno - Tuřany,6.8,24.5,0.0,249.6,17.9,33.7,5.0,2.4,0.0,0.0,15.0,3.0
1961,září,Brno - Tuřany,9.9,19.7,0.0,222.4,16.5,29.9,3.6,2.3,0.0,0.0,12.0,0.0
1961,říjen,Brno - Tuřany,22.2,54.7,0.0,101.2,10.9,21.5,0.0,3.5,0.0,0.0,0.0,0.0
1961,listopad,Brno - Tuřany,20.3,51.1,0.0,54.8,3.8,14.2,-5.8,2.7,0.0,0.0,0.0,0.0
1961,prosinec,Brno - Tuřany,14.6,30.3,3.0,49.7,-2.4,12.8,-17.8,3.3,1.0,15.0,0.0,0.0
1961,rok,Brno - Tuřany,23.9,430.3,7.0,1831.1,9.2,33.7,-17.8,3.0,,,,
1962,leden,Brno - Tuřany,11.7,23.3,3.0,59.9,-1.1,6.0,-10.0,3.4,0.0,12.0,0.0,0.0
1962,únor,Brno - Tuřany,8.4,23.6,8.0,53.2,-1.3,8.6,-11.9,4.9,0.0,9.0,0.0,0.0
1962,březen,Brno - Tuřany,12.8,48.7,7.0,98.8,0.2,17.4,-7.5,3.6,0.0,5.0,0.0,0.0
1962,duben,Brno - Tuřany,12.0,37.8,0.0,178.5,10.4,28.0,-1.0,4.6,0.0,0.0,7.0,0.0
1962,květen,Brno - Tuřany,43.8,117.8,0.0,169.6,11.5,25.0,-1.0,3.1,0.0,0.0,1.0,0.0
1962,červen,Brno - Tuřany,16.6,31.0,0.0,262.5,15.5,31.0,2.7,3.5,0.0,0.0,9.0,2.0
1962,červenec,Brno - Tuřany,10.4,42.0,0.0,240.8,16.8,30.2,3.6,2.6,0.0,0.0,10.0,1.0
1962,srpen,Brno - Tuřany,9.6,16.9,0.0,271.9,18.8,32.0,5.0,2.3,0.0,0.0,17.0,6.0
1962,září,Brno - Tuřany,20.0,36.6,0.0,185.5,12.9,31.3,1.1,2.7,0.0,0.0,3.0,1.0
1962,říjen,Brno - Tuřany,21.5,39.2,0.0,165.1,8.9,23.4,-2.4,2.3,0.0,0.0,0.0,0.0
1962,listopad,Brno - Tuřany,19.0,84.2,1.0,19.8,3.8,13.8,-4.3,3.7,0.0,0.0,0.0,0.0
1962,prosinec,Brno - Tuřany,11.8,22.1,14.0,37.1,-4.5,4.6,-15.6,3.3,1.0,17.0,0.0,0.0
1962,rok,Brno - Tuřany,43.8,523.2,14.0,1742.7,7.7,32.0,-15.6,3.3,,,,
1963,leden,Brno - Tuřany,4.5,21.3,14.0,51.0,-8.2,1.5,-19.6,3.5,1.0,27.0,0.0,0.0
1963,únor,Brno - Tuřany,13.4,17.7,45.0,71.5,-6.1,2.0,-20.8,2.8,1.0,19.0,0.0,0.0
1963,březen,Brno - Tuřany,12.8,31.0,12.0,117.9,0.8,10.6,-18.6,2.8,0.0,2.0,0.0,0.0
1963,duben,Brno - Tuřany,15.5,26.6,0.0,162.6,9.9,22.9,-3.0,3.8,0.0,0.0,0.0,0.0
1963,květen,Brno - Tuřany,26.7,83.6,0.0,208.5,14.1,26.6,3.2,2.7,0.0,0.0,3.0,0.0
1963,červen,Brno - Tuřany,29.0,88.1,0.0,235.1,17.6,31.3,3.4,3.0,0.0,0.0,11.0,1.0
1963,červenec,Brno - Tuřany,4.0,11.3,0.0,280.8,19.8,33.4,8.2,2.4,0.0,0.0,21.0,6.0
1963,srpen,Brno - Tuřany,32.5,105.5,0.0,202.5,18.5,33.0,6.9,3.2,0.0,0.0,13.0,6.0
1963,září,Brno - Tuřany,27.9,56.5,0.0,163.6,15.4,27.0,3.2,3.1,0.0,0.0,4.0,0.0
1963,říjen,Brno - Tuřany,8.1,17.9,0.0,120.7,8.5,20.3,-1.6,2.9,0.0,0.0,0.0,0.0
1963,listopad,Brno - Tuřany,8.0,31.1,0.0,66.4,6.8,19.7,-3.2,3.5,0.0,0.0,0.0,0.0
1963,prosinec,Brno - Tuřany,2.4,5.1,4.0,61.9,-5.1,5.0,-15.2,2.4,1.0,24.0,0.0,0.0
1963,rok,Brno - Tuřany,32.5,495.7,45.0,1742.5,7.7,33.4,-20.8,3.0,,,,
1964,leden,Brno - Tuřany,1.0,1.8,2.0,42.5,-6.1,3.4,-16.6,2.8,0.0,24.0,0.0,0.0
1964,únor,Brno - Tuřany,3.5,9.8,4.0,72.1,-1.0,7.0,-13.9,5.2,0.0,6.0,0.0,0.0
1964,březen,Brno - Tuřany,8.5,34.4,2.0,73.1,0.1,12.2,-10.6,4.5,0.0,7.0,0.0,0.0
1964,duben,Brno - Tuřany,5.9,16.8,0.0,195.9,10.2,23.4,-1.1,4.7,0.0,0.0,0.0,0.0
1964,květen,Brno - Tuřany,17.7,58.4,0.0,246.7,13.9,27.5,2.6,3.5,0.0,0.0,3.0,0.0
1964,červen,Brno - Tuřany,8.6,43.4,0.0,249.4,19.4,30.7,9.0,3.4,0.0,0.0,14.0,1.0
1964,červenec,Brno - Tuřany,17.2,53.6,0.0,275.1,19.3,32.2,4.7,2.8,0.0,0.0,19.0,5.0
1964,srpen,Brno - Tuřany,28.4,80.4,0.0,213.6,16.9,29.8,5.4,3.7,0.0,0.0,11.0,0.0
1964,září,Brno - Tuřany,6.4,18.3,0.0,193.3,14.3,26.6,3.6,3.5,0.0,0.0,4.0,0.0
1964,říjen,Brno - Tuřany,25.3,109.5,0.0,100.7,8.3,20.0,0.4,4.5,0.0,0.0,0.0,0.0
1964,listopad,Brno - Tuřany,2.6,12.4,0.0,50.6,4.8,13.2,-2.4,3.8,0.0,0.0,0.0,0.0
1964,prosinec,Brno - Tuřany,4.9,26.8,16.0,18.9,-1.3,5.3,-11.0,3.2,0.0,15.0,0.0,0.0
1964,rok,Brno - Tuřany,28.4,465.6,16.0,1731.9,8.2,32.2,-16.6,3.8,,,,
1965,leden,Brno - Tuřany,7.2,32.8,18.0,33.0,-1.1,4.7,-9.4,3.6,0.0,7.0,0.0,0.0
1965,únor,Brno - Tuřany,2.4,7.4,9.0,78.1,-3.4,4.4,-15.4,4.5,0.0,14.0,0.0,0.0
1965,březen,Brno - Tuřany,10.0,23.7,18.0,127.4,2.5,17.7,-12.1,3.5,0.0,1.0,0.0,0.0
1965,duben,Brno - Tuřany,20.3,61.4,0.0,117.4,7.7,18.9,-2.0,3.7,0.0,0.0,0.0,0.0
1965,květen,Brno - Tuřany,11.3,63.8,0.0,157.0,11.9,23.8,0.4,4.3,0.0,0.0,0.0,0.0
1965,červen,Brno - Tuřany,31.5,76.9,0.0,218.8,16.6,31.7,4.7,3.4,0.0,0.0,8.0,2.0
1965,červenec,Brno - Tuřany,21.7,82.2,0.0,176.2,17.1,30.0,6.3,2.6,0.0,0.0,6.0,1.0
1965,srpen,Brno - Tuřany,21.8,56.6,0.0,219.8,15.9,29.7,5.0,3.1,0.0,0.0,9.0,0.0
1965,září,Brno - Tuřany,8.6,26.6,0.0,161.4,14.6,25.8,3.9,3.8,0.0,0.0,1.0,0.0
1965,říjen,Brno - Tuřany,3.4,6.8,0.0,168.1,7.1,20.7,-3.6,2.3,0.0,0.0,0.0,0.0
1965,listopad,Brno - Tuřany,8.6,25.1,4.0,51.3,0.7,15.0,-10.8,3.5,0.0,10.0,0.0,0.0
1965,prosinec,Brno - Tuřany,8.1,47.2,7.0,50.4,0.2,9.1,-9.7,3.0,0.0,3.0,0.0,0.0
1965,rok,Brno - Tuřany,31.5,510.5,18.0,1558.9,7.5,31.7,-15.4,3.5,,,,
1966,leden,Brno - Tuřany,1.7,8.8,11.0,38.6,-4.9,6.4,-14.9,3.6,0.0,24.0,0.0,0.0
1966,únor,Brno - Tuřany,8.9,32.3,3.0,46.5,4.3,16.2,-4.3,3.0,0.0,1.0,0.0,0.0
1966,březen,Brno - Tuřany,6.6,16.4,2.0,105.6,3.7,14.1,-6.0,3.8,0.0,0.0,0.0,0.0
1966,duben,Brno - Tuřany,10.6,37.3,0.0,146.0,10.8,23.2,-0.8,3.4,0.0,0.0,0.0,0.0
1966,květen,Brno - Tuřany,15.8,51.2,0.0,223.9,13.9,26.4,3.2,3.4,0.0,0.0,5.0,0.0
1966,červen,Brno - Tuřany,26.4,122.7,0.0,230.2,17.6,29.6,3.0,3.1,0.0,0.0,11.0,0.0
1966,červenec,Brno - Tuřany,40.8,129.1,0.0,201.9,17.5,29.1,6.7,3.1,0.0,0.0,11.0,0.0
1966,srpen,Brno - Tuřany,17.5,69.6,0.0,210.0,17.2,31.2,6.7,3.3,0.0,0.0,8.0,3.0
1966,září,Brno - Tuřany,30.8,38.6,0.0,158.4,13.7,25.2,2.2,2.4,0.0,0.0,2.0,0.0
1966,říjen,Brno - Tuřany,8.2,28.0,0.0,89.3,12.7,24.5,-0.3,3.7,0.0,0.0,0.0,0.0
1966,listopad,Brno - Tuřany,5.8,30.7,1.0,35.1,3.3,16.2,-3.6,4.4,0.0,1.0,0.0,0.0
1966,prosinec,Brno - Tuřany,9.8,46.0,5.0,35.2,0.6,11.6,-5.2,3.0,0.0,2.0,0.0,0.0
1966,rok,Brno - Tuřany,40.8,610.7,11.0,1520.7,9.2,31.2,-14.9,3.4,,,,
1967,leden,Brno - Tuřany,4.1,13.3,4.0,57.3,-2.2,5.6,-14.8,3.9,0.0,14.0,0.0,0.0
