Rok,Měsíc,Stanice,Precipitations_max,Precipitations_sum,Snow_height_max,Sunshine_sum,Temperatures_avg,Temperatures_max_max,Temperatures_min_min,Wind_avg,Arctic_days,Ice_days,Summer_days,Tropical_days
1961,leden,Cheb,5.3,27.1,10.0,54.0,-2.9,8.4,-17.4,3.7,0.0,13.0,0.0,0.0
1961,únor,Cheb,4.5,27.1,13.0,53.0,2.3,12.7,-4.0,3.8,0.0,0.0,0.0,0.0
1961,březen,Cheb,6.2,18.6,3.0,128.5,5.2,20.1,-3.4,3.9,0.0,0.0,0.0,0.0
1961,duben,Cheb,38.5,82.6,0.0,144.8,10.4,23.3,0.8,2.5,0.0,0.0,0.0,0.0
1961,květen,Cheb,13.0,67.2,0.0,121.6,9.2,22.0,0.2,3.1,0.0,0.0,0.0,0.0
1961,červen,Cheb,16.5,82.2,0.0,220.8,15.2,28.6,5.4,2.7,0.0,0.0,6.0,0.0
1961,červenec,Cheb,16.5,69.2,0.0,163.7,14.3,30.1,5.5,3.5,0.0,0.0,5.0,2.0
1961,srpen,Cheb,29.5,74.6,0.0,160.3,15.0,29.1,6.4,3.0,0.0,0.0,9.0,0.0
1961,září,Cheb,3.9,21.4,0.0,172.4,15.3,30.3,4.2,2.3,0.0,0.0,10.0,2.0
1961,říjen,Cheb,12.8,33.2,0.0,128.0,9.0,20.8,-1.1,2.7,0.0,0.0,0.0,0.0
1961,listopad,Cheb,8.2,26.3,0.0,35.4,2.4,11.8,-7.6,3.1,0.0,0.0,0.0,0.0
1961,prosinec,Cheb,13.6,44.0,8.0,49.0,-2.8,13.4,-19.4,3.2,1.0,13.0,0.0,0.0
1961,rok,Cheb,38.5,573.5,13.0,1431.5,7.7,30.3,-19.4,3.1,,,,
1962,leden,Cheb,10.5,28.0,5.0,42.4,-0.6,7.6,-14.3,4.6,0.0,7.0,0.0,0.0
1962,únor,Cheb,11.0,28.3,23.0,52.3,-1.6,5.7,-16.0,5.8,0.0,12.0,0.0,0.0
1962,březen,Cheb,12.1,43.9,5.0,122.1,-1.1,10.4,-12.0,3.0,0.0,5.0,0.0,0.0
1962,duben,Cheb,4.9,22.4,0.0,144.3,7.6,26.4,-3.0,3.7,0.0,0.0,4.0,0.0
1962,květen,Cheb,20.8,63.4,0.0,137.4,8.8,20.3,-1.2,3.1,0.0,0.0,0.0,0.0
1962,červen,Cheb,8.6,29.9,0.0,232.0,13.3,29.4,-0.6,3.2,0.0,0.0,6.0,0.0
1962,červenec,Cheb,6.6,33.5,0.0,186.7,14.5,31.3,5.9,2.7,0.0,0.0,4.0,1.0
1962,srpen,Cheb,5.0,18.2,0.0,240.5,15.6,32.1,3.9,3.1,0.0,0.0,8.0,1.0
1962,září,Cheb,9.0,39.4,0.0,171.2,11.7,28.6,0.7,3.2,0.0,0.0,3.0,0.0
1962,říjen,Cheb,3.6,5.3,0.0,135.3,7.6,24.0,-3.1,1.8,0.0,0.0,0.0,0.0
1962,listopad,Cheb,2.6,7.5,3.0,44.5,1.5,13.9,-12.4,3.1,0.0,4.0,0.0,0.0
1962,prosinec,Cheb,5.5,29.5,12.0,39.2,-6.1,3.3,-19.6,3.0,4.0,20.0,0.0,0.0
1962,rok,Cheb,20.8,349.3,23.0,1547.9,5.9,32.1,-19.6,3.4,,,,
1963,leden,Cheb,9.9,18.8,30.0,54.4,-8.9,1.7,-24.6,2.6,7.0,28.0,0.0,0.0
1963,únor,Cheb,6.4,10.2,37.0,76.5,-7.0,0.6,-21.4,1.8,0.0,25.0,0.0,0.0
1963,březen,Cheb,7.2,33.9,27.0,104.5,1.2,12.4,-17.3,3.0,0.0,1.0,0.0,0.0
1963,duben,Cheb,14.4,39.8,0.0,137.6,7.9,19.1,-3.1,2.2,0.0,0.0,0.0,0.0
1963,květen,Cheb,9.4,36.3,0.0,186.6,11.7,23.6,-0.9,2.2,0.0,0.0,0.0,0.0
1963,červen,Cheb,37.7,127.8,0.0,220.2,15.3,30.3,2.1,2.8,0.0,0.0,6.0,1.0
1963,červenec,Cheb,10.8,64.7,0.0,257.9,17.2,30.4,5.0,1.6,0.0,0.0,13.0,1.0
1963,srpen,Cheb,12.8,55.5,0.0,192.8,15.3,31.6,5.3,3.0,0.0,0.0,8.0,3.0
1963,září,Cheb,10.9,35.3,0.0,143.7,13.2,25.5,1.8,2.4,0.0,0.0,1.0,0.0
1963,říjen,Cheb,8.7,22.9,0.0,128.6,7.1,18.2,-3.0,2.6,0.0,0.0,0.0,0.0
1963,listopad,Cheb,13.2,71.5,0.0,56.0,6.1,14.6,-3.8,4.0,0.0,0.0,0.0,0.0
1963,prosinec,Cheb,1.0,3.1,4.0,47.7,-5.1,4.4,-16.6,2.4,0.0,23.0,0.0,0.0
1963,rok,Cheb,37.7,519.8,37.0,1606.5,6.2,31.6,-24.6,2.6,,,,
1964,leden,Cheb,10.9,18.0,28.0,59.4,-5.9,2.8,-21.2,2.7,1.0,23.0,0.0,0.0
1964,únor,Cheb,3.3,10.6,10.0,91.5,-2.0,5.0,-14.0,4.2,0.0,9.0,0.0,0.0
1964,březen,Cheb,3.7,19.4,0.0,92.5,-0.8,11.6,-11.7,2.9,0.0,6.0,0.0,0.0
1964,duben,Cheb,4.4,19.0,3.0,150.2,7.9,22.8,-1.3,3.3,0.0,0.0,0.0,0.0
1964,květen,Cheb,7.8,37.0,0.0,211.9,12.8,27.0,2.0,2.7,0.0,0.0,3.0,0.0
1964,červen,Cheb,6.7,28.5,0.0,251.5,17.5,31.8,4.7,2.4,0.0,0.0,11.0,3.0
1964,červenec,Cheb,31.8,45.0,0.0,241.1,18.0,33.7,2.2,2.0,0.0,0.0,16.0,7.0
1964,srpen,Cheb,15.0,59.6,0.0,164.1,15.2,32.5,3.6,2.6,0.0,0.0,5.0,3.0
1964,září,Cheb,9.6,30.4,0.0,187.1,12.6,28.4,-1.8,2.6,0.0,0.0,3.0,0.0
1964,říjen,Cheb,7.3,43.0,0.0,98.8,6.4,19.6,-4.0,3.3,0.0,0.0,0.0,0.0
1964,listopad,Cheb,7.0,33.0,3.0,32.0,3.8,12.0,-3.0,3.9,0.0,0.0,0.0,0.0
1964,prosinec,Cheb,4.4,13.2,7.0,34.8,-1.7,7.6,-9.4,3.7,0.0,15.0,0.0,0.0
1964,rok,Cheb,31.8,356.7,28.0,1614.9,7.0,33.7,-21.2,3.0,,,,
1965,leden,Cheb,13.9,58.8,12.0,16.7,-0.4,6.4,-7.1,3.2,0.0,4.0,0.0,0.0
1965,únor,Cheb,6.3,25.8,33.0,63.4,-3.7,2.2,-20.4,3.6,0.0,20.0,0.0,0.0
1965,březen,Cheb,10.4,35.1,30.0,97.6,0.2,16.0,-19.5,2.4,0.0,6.0,0.0,0.0
1965,duben,Cheb,9.2,54.7,0.0,111.2,6.0,18.9,-2.5,2.9,0.0,0.0,0.0,0.0
1965,květen,Cheb,14.3,96.8,0.0,157.6,10.5,24.0,-0.8,3.5,0.0,0.0,0.0,0.0
1965,červen,Cheb,22.2,114.2,0.0,202.4,15.1,27.8,3.5,3.2,0.0,0.0,5.0,0.0
1965,červenec,Cheb,8.4,56.8,0.0,167.5,14.9,31.1,5.5,3.8,0.0,0.0,5.0,1.0
1965,srpen,Cheb,5.9,19.6,0.0,205.1,14.4,30.3,2.4,2.2,0.0,0.0,6.0,1.0
1965,září,Cheb,24.3,77.9,0.0,136.2,11.7,24.2,1.6,2.3,0.0,0.0,0.0,0.0
1965,říjen,Cheb,6.2,9.4,0.0,162.5,7.1,20.9,-3.6,2.3,0.0,0.0,0.0,0.0
1965,listopad,Cheb,11.2,60.4,5.0,48.6,0.1,13.6,-10.2,3.6,0.0,9.0,0.0,0.0
1965,prosinec,Cheb,14.7,81.7,14.0,27.3,1.6,11.0,-5.0,4.7,0.0,2.0,0.0,0.0
1965,rok,Cheb,24.3,691.2,33.0,1396.1,6.5,31.1,-20.4,3.1,,,,
1966,leden,Cheb,9.1,30.3,14.0,38.3,-4.7,7.6,-18.5,2.9,1.0,20.0,0.0,0.0
1966,únor,Cheb,13.5,39.9,1.0,35.1,3.8,14.0,-4.4,3.1,0.0,0.0,0.0,0.0
1966,březen,Cheb,13.1,57.0,6.0,98.5,2.1,11.8,-5.6,4.0,0.0,1.0,0.0,0.0
1966,duben,Cheb,8.9,41.8,0.0,142.3,9.2,21.2,-1.4,2.5,0.0,0.0,0.0,0.0
1966,květen,Cheb,9.3,37.4,0.0,211.9,12.3,26.4,0.9,3.0,0.0,0.0,4.0,0.0
1966,červen,Cheb,22.3,62.6,0.0,206.7,16.6,30.0,5.0,3.1,0.0,0.0,13.0,1.0
1966,červenec,Cheb,23.9,107.0,0.0,149.7,15.2,26.8,6.4,3.1,0.0,0.0,1.0,0.0
1966,srpen,Cheb,14.8,94.2,0.0,145.0,14.7,32.2,5.1,2.8,0.0,0.0,5.0,1.0
1966,září,Cheb,6.2,23.0,0.0,142.1,12.3,28.0,1.9,2.3,0.0,0.0,1.0,0.0
1966,říjen,Cheb,18.0,59.6,0.0,82.7,10.6,24.4,-5.6,2.4,0.0,0.0,0.0,0.0
1966,listopad,Cheb,6.1,23.1,4.0,28.8,0.7,11.8,-6.4,3.4,0.0,6.0,0.0,0.0
1966,prosinec,Cheb,12.9,111.2,10.0,25.8,0.3,6.3,-9.4,4.3,0.0,5.0,0.0,0.0
1966,rok,Cheb,23.9,687.1,14.0,1306.9,7.8,32.2,-18.5,3.1,,,,
1967,leden,Cheb,4.7,26.0,18.0,30.2,-1.6,9.0,-21.3,3.1,1.0,10.0,0.0,0.0
1967,únor,Cheb,9.3,40.0,10.0,99.4,0.8,13.0,-12.0,4.2,0.0,5.0,0.0,0.0
1967,březen,Cheb,9.4,42.0,4.0,118.5,4.1,15.7,-2.8,4.3,0.0,0.0,0.0,0.0
1967,duben,Cheb,3.7,17.3,0.0,145.7,5.9,19.2,-2.6,3.1,0.0,0.0,0.0,0.0
1967,květen,Cheb,17.3,69.9,0.0,205.5,12.0,26.4,0.5,3.0,0.0,0.0,2.0,0.0
1967,červen,Cheb,8.4,46.3,0.0,184.3,14.2,32.2,4.6,2.9,0.0,0.0,4.0,1.0
1967,červenec,Cheb,7.3,34.6,0.0,249.1,18.4,31.3,6.2,2.0,0.0,0.0,17.0,4.0
1967,srpen,Cheb,38.2,101.7,0.0,179.5,15.6,31.3,5.0,2.1,0.0,0.0,5.0,1.0
1967,září,Cheb,15.3,71.8,0.0,114.5,12.8,26.0,2.9,2.4,0.0,0.0,2.0,0.0
1967,říjen,Cheb,6.3,31.4,0.0,121.0,10.3,22.2,-1.7,3.5,0.0,0.0,0.0,0.0
1967,listopad,Cheb,4.4,17.4,0.0,58.9,2.6,12.0,-4.5,3.0,0.0,0.0,0.0,0.0
1967,prosinec,Cheb,17.9,67.2,20.0,30.5,-1.4,9.4,-12.8,3.6,0.0,12.0,0.0,0.0
1967,rok,Cheb,38.2,565.6,20.0,1537.1,7.8,32.2,-21.3,3.1,,,,
1968,leden,Cheb,18.5,53.5,22.0,43.3,-3.0,7.2,-17.6,3.9,1.0,15.0,0.0,0.0
1968,únor,Cheb,9.9,35.2,20.0,45.0,-0.6,6.5,-13.2,2.5,0.0,5.0,0.0,0.0
1968,březen,Cheb,7.2,34.7,12.0,144.2,3.1,22.6,-10.2,3.8,0.0,2.0,0.0,0.0
1968,duben,Cheb,20.8,55.4,2.0,206.8,7.7,28.8,-5.6,2.6,0.0,0.0,4.0,0.0
1968,květen,Cheb,10.0,39.9,0.0,172.6,10.5,24.7,-0.1,3.1,0.0,0.0,0.0,0.0
1968,červen,Cheb,18.6,50.9,0.0,208.8,15.6,28.2,4.7,3.0,0.0,0.0,8.0,0.0
