Rok,Měsíc,Stanice,Precipitations_max,Precipitations_sum,Snow_height_max,Sunshine_sum,Temperatures_avg,Temperatures_max_max,Temperatures_min_min,Wind_avg,Arctic_days,Ice_days,Summer_days,Tropical_days
1961,leden,Děčín,8.0,20.2,5.0,48.7,-1.3,8.0,-16.9,1.6,0.0,9.0,0.0,0.0
1961,únor,Děčín,29.4,83.1,12.0,19.5,3.7,11.0,-7.5,2.2,0.0,0.0,0.0,0.0
1961,březen,Děčín,10.7,56.9,3.0,86.0,7.1,21.2,-2.0,2.0,0.0,0.0,0.0,0.0
1961,duben,Děčín,16.1,45.1,0.0,162.1,12.4,25.5,0.0,1.9,0.0,0.0,3.0,0.0
1961,květen,Děčín,20.3,111.2,0.0,83.4,11.3,27.0,3.2,1.4,0.0,0.0,1.0,0.0
1961,červen,Děčín,16.8,71.6,0.0,208.6,17.4,32.4,5.6,1.2,0.0,0.0,13.0,1.0
1961,červenec,Děčín,22.6,77.8,0.0,141.5,16.5,34.0,5.6,1.8,0.0,0.0,8.0,4.0
1961,srpen,Děčín,21.2,62.3,0.0,115.7,16.6,32.5,6.5,1.8,0.0,0.0,11.0,1.0
1961,září,Děčín,6.9,20.1,0.0,141.9,16.2,30.6,4.0,1.2,0.0,0.0,15.0,1.0
1961,říjen,Děčín,11.7,42.1,0.0,89.3,11.0,23.6,3.5,1.8,0.0,0.0,0.0,0.0
1961,listopad,Děčín,22.7,69.6,0.0,14.6,3.9,12.2,-5.6,1.7,0.0,1.0,0.0,0.0
1961,prosinec,Děčín,23.3,55.9,8.0,21.7,-1.4,16.2,-19.8,1.7,0.0,13.0,0.0,0.0
1961,rok,Děčín,29.4,715.9,12.0,1133.0,9.4,34.0,-19.8,1.7,,,,
1962,leden,Děčín,10.1,53.4,7.0,22.5,0.8,10.3,-10.5,2.6,0.0,5.0,0.0,0.0
1962,únor,Děčín,11.1,60.9,8.0,38.7,0.1,9.5,-14.8,2.2,0.0,4.0,0.0,0.0
1962,březen,Děčín,9.1,46.0,12.0,76.9,0.7,12.2,-9.6,1.8,0.0,2.0,0.0,0.0
1962,duben,Děčín,9.8,38.2,0.0,120.8,10.3,31.5,-2.2,2.4,0.0,0.0,7.0,2.0
1962,květen,Děčín,12.6,73.5,0.0,86.1,11.1,26.0,-1.6,1.6,0.0,0.0,1.0,0.0
1962,červen,Děčín,17.6,42.4,0.0,196.8,15.5,32.0,1.8,2.3,0.0,0.0,10.0,3.0
1962,červenec,Děčín,11.2,56.5,0.0,129.0,16.3,32.6,5.5,1.3,0.0,0.0,12.0,1.0
1962,srpen,Děčín,24.7,74.9,0.0,143.4,17.0,33.7,7.0,1.7,0.0,0.0,11.0,3.0
1962,září,Děčín,16.6,53.1,0.0,130.3,13.0,30.4,3.0,1.5,0.0,0.0,4.0,1.0
1962,říjen,Děčín,9.6,20.0,0.0,87.6,9.1,25.5,-1.2,1.3,0.0,0.0,2.0,0.0
1962,listopad,Děčín,3.7,18.1,1.0,13.8,4.5,15.9,-6.8,3.0,0.0,0.0,0.0,0.0
1962,prosinec,Děčín,8.8,40.6,6.0,11.3,-3.5,6.2,-15.0,1.6,1.0,17.0,0.0,0.0
1962,rok,Děčín,24.7,577.6,12.0,1057.2,7.9,33.7,-15.0,1.9,,,,
1963,leden,Děčín,8.8,28.6,24.0,35.3,-7.1,4.5,-19.6,0.8,1.0,26.0,0.0,0.0
1963,únor,Děčín,7.8,20.3,16.0,32.8,-4.5,3.9,-17.9,0.9,0.0,13.0,0.0,0.0
1963,březen,Děčín,8.5,31.7,7.0,63.1,2.4,15.2,-16.0,1.3,0.0,0.0,0.0,0.0
1963,duben,Děčín,13.7,28.6,0.0,123.2,10.0,23.7,-3.5,1.7,0.0,0.0,0.0,0.0
1963,květen,Děčín,9.7,48.7,0.0,130.8,13.4,28.0,1.0,1.3,0.0,0.0,6.0,0.0
1963,červen,Děčín,17.4,58.0,0.0,181.2,17.5,34.0,0.5,1.6,0.0,0.0,17.0,1.0
1963,červenec,Děčín,8.3,30.8,0.0,209.5,19.9,35.2,4.6,1.2,0.0,0.0,23.0,7.0
1963,srpen,Děčín,13.6,78.0,0.0,134.0,17.6,36.2,4.5,1.6,0.0,0.0,12.0,8.0
1963,září,Děčín,16.2,70.7,0.0,122.6,14.7,26.9,2.5,1.4,0.0,0.0,10.0,0.0
1963,říjen,Děčín,8.7,27.8,0.0,90.1,8.9,20.4,-5.0,1.9,0.0,0.0,0.0,0.0
1963,listopad,Děčín,11.6,48.7,0.0,22.7,8.1,17.6,-5.5,1.9,0.0,0.0,0.0,0.0
1963,prosinec,Děčín,3.4,8.6,7.0,20.5,-3.7,6.6,-14.5,1.9,0.0,18.0,0.0,0.0
1963,rok,Děčín,17.4,480.5,24.0,1165.8,8.1,36.2,-19.6,1.5,,,,
1964,leden,Děčín,6.3,27.7,8.0,2.7,-3.8,6.3,-16.7,1.3,0.0,15.0,0.0,0.0
1964,únor,Děčín,6.3,38.3,5.0,46.5,0.0,9.4,-12.8,2.7,0.0,3.0,0.0,0.0
1964,březen,Děčín,9.8,21.7,0.0,64.6,0.5,12.0,-11.7,1.7,0.0,5.0,0.0,0.0
1964,duben,Děčín,8.8,45.7,0.0,121.0,9.7,25.0,-0.8,2.4,0.0,0.0,1.0,0.0
