Rok,Měsíc,Stanice,Precipitations_max,Precipitations_sum,Snow_height_max,Sunshine_sum,Temperatures_avg,Temperatures_max_max,Temperatures_min_min,Wind_avg,Arctic_days,Ice_days,Summer_days,Tropical_days
1961,leden,Havlíčkův Brod,4.7,15.6,6.0,,-3.4,8.6,-22.5,2.1,0.0,17.0,0.0,0.0
1961,únor,Havlíčkův Brod,14.3,52.0,10.0,,1.7,13.0,-13.8,2.1,0.0,2.0,0.0,0.0
1961,březen,Havlíčkův Brod,9.2,57.4,8.0,,4.9,19.5,-4.0,2.3,0.0,0.0,0.0,0.0
1961,duben,Havlíčkův Brod,9.8,36.0,0.0,,11.3,25.2,-0.5,1.8,0.0,0.0,1.0,0.0
1961,květen,Havlíčkův Brod,27.4,87.9,0.0,,10.8,23.8,-1.3,1.9,0.0,0.0,0.0,0.0
1961,červen,Havlíčkův Brod,28.0,119.9,0.0,,16.7,30.2,4.5,1.0,0.0,0.0,9.0,1.0
1961,červenec,Havlíčkův Brod,25.0,69.0,0.0,,15.9,31.0,3.6,1.5,0.0,0.0,8.0,2.0
1961,srpen,Havlíčkův Brod,16.8,67.9,0.0,,16.2,30.0,4.2,1.5,0.0,0.0,13.0,2.0
1961,září,Havlíčkův Brod,11.4,28.5,0.0,,15.1,28.8,0.3,1.2,0.0,0.0,11.0,0.0
1961,říjen,Havlíčkův Brod,19.7,50.8,0.0,,9.1,21.7,-1.5,2.4,0.0,0.0,0.0,0.0
1961,listopad,Havlíčkův Brod,13.4,39.6,0.0,,2.8,12.0,-7.5,1.5,0.0,1.0,0.0,0.0
1961,prosinec,Havlíčkův Brod,14.5,33.9,11.0,,-3.4,17.7,-25.8,2.0,2.0,18.0,0.0,0.0
1961,rok,Havlíčkův Brod,28.0,658.5,11.0,,8.2,31.0,-25.8,1.8,,,,
1962,leden,Havlíčkův Brod,7.5,44.8,20.0,,-1.5,8.2,-17.4,2.4,0.0,11.0,0.0,0.0
1962,únor,Havlíčkův Brod,9.7,47.8,30.0,,-2.2,7.7,-18.1,3.1,0.0,12.0,0.0,0.0
1962,březen,Havlíčkův Brod,10.1,37.2,7.0,,-0.9,14.2,-13.6,1.8,0.0,6.0,0.0,0.0
1962,duben,Havlíčkův Brod,5.7,22.1,0.0,,8.7,27.7,-1.9,2.4,0.0,0.0,5.0,0.0
1962,květen,Havlíčkův Brod,29.8,147.5,0.0,,10.4,24.0,-2.1,1.6,0.0,0.0,0.0,0.0
1962,červen,Havlíčkův Brod,134.0,162.6,0.0,,14.5,30.7,-0.5,1.9,0.0,0.0,9.0,1.0
1962,červenec,Havlíčkův Brod,16.0,81.0,0.0,,15.4,30.0,3.5,1.2,0.0,0.0,7.0,1.0
1962,srpen,Havlíčkův Brod,15.6,49.0,0.0,,16.8,30.5,3.6,1.5,0.0,0.0,9.0,1.0
1962,září,Havlíčkův Brod,17.3,59.1,0.0,,12.1,29.4,-0.7,2.0,0.0,0.0,3.0,0.0
1962,říjen,Havlíčkův Brod,18.0,28.0,0.0,,7.3,22.6,-5.1,0.9,0.0,0.0,0.0,0.0
1962,listopad,Havlíčkův Brod,14.2,61.8,5.0,,2.3,11.8,-6.0,2.8,0.0,5.0,0.0,0.0
1962,prosinec,Havlíčkův Brod,13.6,26.9,9.0,,-5.7,3.4,-18.5,2.0,1.0,22.0,0.0,0.0
1962,rok,Havlíčkův Brod,134.0,767.8,30.0,,6.4,30.7,-18.5,2.0,,,,
1963,leden,Havlíčkův Brod,8.6,21.8,53.0,,-8.3,1.7,-24.8,2.7,4.0,27.0,0.0,0.0
1963,únor,Havlíčkův Brod,4.9,17.6,60.0,,-7.2,3.5,-23.8,2.3,0.0,24.0,0.0,0.0
1963,březen,Havlíčkův Brod,15.3,30.5,40.0,,0.7,13.9,-22.9,1.9,0.0,4.0,0.0,0.0
1963,duben,Havlíčkův Brod,5.0,16.5,0.0,,8.6,21.1,-4.5,2.5,0.0,0.0,0.0,0.0
1963,květen,Havlíčkův Brod,23.4,100.2,0.0,,12.3,23.9,-0.2,1.3,0.0,0.0,0.0,0.0
1963,červen,Havlíčkův Brod,26.8,112.3,0.0,,16.9,30.4,-0.4,2.2,0.0,0.0,5.0,1.0
1963,červenec,Havlíčkův Brod,21.1,35.2,0.0,,18.6,31.5,5.0,0.9,0.0,0.0,13.0,3.0
1963,srpen,Havlíčkův Brod,17.0,93.1,0.0,,17.0,32.0,6.6,1.7,0.0,0.0,8.0,4.0
1963,září,Havlíčkův Brod,30.2,94.1,0.0,,14.3,25.0,3.0,1.6,0.0,0.0,1.0,0.0
1963,říjen,Havlíčkův Brod,5.2,13.4,0.0,,7.6,20.8,-4.7,1.8,0.0,0.0,0.0,0.0
1963,listopad,Havlíčkův Brod,14.9,54.5,0.0,,6.2,16.3,-2.1,2.1,0.0,0.0,0.0,0.0
1963,prosinec,Havlíčkův Brod,3.5,8.1,3.0,,-6.1,3.5,-20.5,2.1,1.0,25.0,0.0,0.0
1963,rok,Havlíčkův Brod,30.2,597.3,60.0,,6.7,32.0,-24.8,1.9,,,,
1964,leden,Havlíčkův Brod,3.5,13.9,6.0,,-6.4,2.5,-20.2,1.9,0.0,23.0,0.0,0.0
1964,únor,Havlíčkův Brod,10.6,32.3,17.0,,-2.5,5.1,-21.5,3.2,0.0,13.0,0.0,0.0
1964,březen,Havlíčkův Brod,12.4,31.5,2.0,,-0.8,13.5,-13.5,1.6,0.0,14.0,0.0,0.0
1964,duben,Havlíčkův Brod,12.3,45.3,4.0,,8.3,21.5,-2.6,2.6,0.0,0.0,0.0,0.0
1964,květen,Havlíčkův Brod,19.5,66.3,0.0,,12.3,26.0,0.5,1.6,0.0,0.0,2.0,0.0
1964,červen,Havlíčkův Brod,18.4,95.4,0.0,,17.4,30.0,5.2,1.3,0.0,0.0,14.0,1.0
1964,červenec,Havlíčkův Brod,30.0,64.8,0.0,,17.6,32.0,4.0,1.1,0.0,0.0,14.0,2.0
1964,srpen,Havlíčkův Brod,38.5,180.5,0.0,,14.7,28.5,2.0,1.2,0.0,0.0,6.0,0.0
1964,září,Havlíčkův Brod,9.3,23.6,0.0,,11.9,24.5,-1.0,1.3,0.0,0.0,0.0,0.0
1964,říjen,Havlíčkův Brod,34.0,110.6,0.0,,6.7,18.5,-1.9,1.5,0.0,0.0,0.0,0.0
1964,listopad,Havlíčkův Brod,8.6,41.3,0.0,,3.7,13.5,-3.0,2.2,0.0,0.0,0.0,0.0
1964,prosinec,Havlíčkův Brod,4.8,26.0,9.0,,-1.8,3.0,-12.8,1.6,0.0,17.0,0.0,0.0
1964,rok,Havlíčkův Brod,38.5,731.5,17.0,,6.7,32.0,-21.5,1.8,,,,
1965,leden,Havlíčkův Brod,7.8,44.0,22.0,,-1.3,3.5,-14.5,2.2,0.0,14.0,0.0,0.0
1965,únor,Havlíčkův Brod,4.8,33.3,50.0,,-4.9,3.5,-22.0,3.2,0.0,19.0,0.0,0.0
1965,březen,Havlíčkův Brod,10.3,41.6,58.0,,0.3,14.6,-19.6,1.4,0.0,6.0,0.0,0.0
1965,duben,Havlíčkův Brod,18.0,85.1,0.0,,6.1,16.7,-3.7,1.5,0.0,0.0,0.0,0.0
1965,květen,Havlíčkův Brod,18.5,126.7,0.0,,10.1,23.0,-0.8,1.8,0.0,0.0,0.0,0.0
1965,červen,Havlíčkův Brod,23.0,107.2,0.0,,15.5,31.8,2.5,2.0,0.0,0.0,7.0,1.0
1965,červenec,Havlíčkův Brod,47.0,139.2,0.0,,15.9,29.1,5.5,1.7,0.0,0.0,5.0,0.0
1965,srpen,Havlíčkův Brod,31.5,82.1,0.0,,14.2,28.8,2.5,1.4,0.0,0.0,9.0,0.0
1965,září,Havlíčkův Brod,11.0,44.2,0.0,,12.7,22.5,1.8,2.5,0.0,0.0,0.0,0.0
1965,říjen,Havlíčkův Brod,8.3,12.7,0.0,,5.9,19.6,-5.5,0.8,0.0,0.0,0.0,0.0
1965,listopad,Havlíčkův Brod,17.0,37.6,12.0,,-0.8,14.7,-16.5,2.6,0.0,9.0,0.0,0.0
1965,prosinec,Havlíčkův Brod,13.2,61.7,8.0,,-0.3,10.0,-13.8,1.8,0.0,6.0,0.0,0.0
1965,rok,Havlíčkův Brod,47.0,815.4,58.0,,6.1,31.8,-22.0,1.9,,,,
1966,leden,Havlíčkův Brod,5.6,37.2,22.0,,-6.5,6.5,-23.0,2.1,0.0,23.0,0.0,0.0
1966,únor,Havlíčkův Brod,14.0,42.0,7.0,,3.8,13.7,-4.5,1.5,0.0,0.0,0.0,0.0
1966,březen,Havlíčkův Brod,6.8,48.5,10.0,,2.0,12.6,-5.0,2.8,0.0,1.0,0.0,0.0
1966,duben,Havlíčkův Brod,9.7,32.6,0.0,,8.7,20.0,-2.8,1.4,0.0,0.0,0.0,0.0
1966,květen,Havlíčkův Brod,15.0,68.7,0.0,,11.9,27.0,0.0,2.0,0.0,0.0,2.0,0.0
1966,červen,Havlíčkův Brod,34.6,128.8,0.0,,15.8,29.3,1.0,1.6,0.0,0.0,10.0,0.0
1966,červenec,Havlíčkův Brod,31.3,142.1,0.0,,15.4,28.8,5.3,1.2,0.0,0.0,5.0,0.0
1966,srpen,Havlíčkův Brod,31.5,142.9,0.0,,14.8,31.8,3.8,1.3,0.0,0.0,6.0,2.0
1966,září,Havlíčkův Brod,11.2,26.0,0.0,,11.3,25.5,-1.0,0.8,0.0,0.0,1.0,0.0
1966,říjen,Havlíčkův Brod,17.6,45.9,0.0,,11.2,23.5,-7.8,1.1,0.0,1.0,0.0,0.0
1966,listopad,Havlíčkův Brod,6.9,31.6,5.0,,1.7,13.5,-4.8,2.6,0.0,3.0,0.0,0.0
1966,prosinec,Havlíčkův Brod,9.0,69.6,8.0,,-0.8,6.8,-7.8,1.5,0.0,9.0,0.0,0.0
1966,rok,Havlíčkův Brod,34.6,815.9,22.0,,7.4,31.8,-23.0,1.7,,,,
1967,leden,Havlíčkův Brod,6.1,37.4,15.0,,-2.8,6.6,-19.0,2.1,0.0,15.0,0.0,0.0
1967,únor,Havlíčkův Brod,8.2,34.6,1.0,,0.1,11.7,-12.6,4.0,0.0,6.0,0.0,0.0
1967,březen,Havlíčkův Brod,11.0,54.8,10.0,,3.8,16.0,-4.0,2.8,0.0,0.0,0.0,0.0
1967,duben,Havlíčkův Brod,10.3,42.9,3.0,,6.0,22.3,-3.6,1.6,0.0,0.0,0.0,0.0
1967,květen,Havlíčkův Brod,31.0,107.3,0.0,,12.5,26.0,-2.0,1.5,0.0,0.0,1.0,0.0
1967,červen,Havlíčkův Brod,21.4,75.7,0.0,,14.9,31.6,3.0,1.0,0.0,0.0,6.0,2.0
1967,červenec,Havlíčkův Brod,30.5,69.4,0.0,,18.0,31.2,5.5,0.9,0.0,0.0,17.0,1.0
1967,srpen,Havlíčkův Brod,10.4,51.3,0.0,,16.0,31.8,5.0,1.0,0.0,0.0,8.0,2.0
1967,září,Havlíčkův Brod,23.5,110.5,0.0,,13.2,27.5,1.0,0.7,0.0,0.0,5.0,0.0
1967,říjen,Havlíčkův Brod,5.5,22.2,0.0,,10.2,25.8,-3.6,1.5,0.0,0.0,1.0,0.0
1967,listopad,Havlíčkův Brod,12.2,36.5,2.0,,2.6,12.0,-7.0,1.1,0.0,1.0,0.0,0.0
1967,prosinec,Havlíčkův Brod,26.0,97.4,28.0,,-1.5,8.8,-15.5,1.3,0.0,14.0,0.0,0.0
1967,rok,Havlíčkův Brod,31.0,740.0,28.0,,7.7,31.8,-19.0,1.6,,,,
1968,leden,Havlíčkův Brod,20.3,66.5,28.0,,-4.3,7.3,-29.0,3.0,2.0,19.0,0.0,0.0
1968,únor,Havlíčkův Brod,6.5,26.4,10.0,,-0.4,9.8,-12.8,1.5,0.0,8.0,0.0,0.0
1968,březen,Havlíčkův Brod,25.2,59.2,30.0,,3.1,22.0,-8.5,2.7,0.0,3.0,0.0,0.0
1968,duben,Havlíčkův Brod,8.0,32.3,0.0,,8.4,28.0,-6.5,1.3,0.0,0.0,3.0,0.0
1968,květen,Havlíčkův Brod,17.0,60.9,0.0,,11.1,24.8,0.0,1.6,0.0,0.0,0.0,0.0
1968,červen,Havlíčkův Brod,14.5,73.6,0.0,,16.4,29.6,5.2,1.5,0.0,0.0,9.0,0.0
1968,červenec,Havlíčkův Brod,10.2,55.4,0.0,,16.2,31.5,4.0,1.1,0.0,0.0,11.0,1.0
1968,srpen,Havlíčkův Brod,27.8,132.7,0.0,,15.6,25.6,2.0,1.0,0.0,0.0,3.0,0.0
1968,září,Havlíčkův Brod,9.2,49.2,0.0,,12.5,24.0,0.8,0.8,0.0,0.0,0.0,0.0
1968,říjen,Havlíčkův Brod,15.6,52.9,0.0,,8.2,17.4,-3.5,0.8,0.0,0.0,0.0,0.0
1968,listopad,Havlíčkův Brod,8.1,32.7,1.0,,4.0,16.0,-5.3,1.8,0.0,3.0,0.0,0.0
1968,prosinec,Havlíčkův Brod,5.3,16.7,10.0,,-4.1,4.5,-19.8,2.4,0.0,24.0,0.0,0.0
1968,rok,Havlíčkův Brod,27.8,658.5,30.0,,7.2,31.5,-29.0,1.6,,,,
1969,leden,Havlíčkův Brod,12.8,48.1,25.0,,-3.0,3.5,-19.7,2.4,0.0,16.0,0.0,0.0
1969,únor,Havlíčkův Brod,6.8,32.6,40.0,,-3.1,6.0,-20.0,2.0,0.0,15.0,0.0,0.0
1969,březen,Havlíčkův Brod,7.4,43.0,12.0,,-0.5,11.9,-15.0,1.9,0.0,2.0,0.0,0.0
1969,duben,Havlíčkův Brod,4.4,33.1,1.0,,6.8,24.5,-4.5,2.1,0.0,0.0,0.0,0.0
1969,květen,Havlíčkův Brod,20.6,78.1,0.0,,14.8,31.7,2.0,2.0,0.0,0.0,6.0,1.0
1969,červen,Havlíčkův Brod,16.3,69.7,0.0,,15.0,25.6,5.4,1.6,0.0,0.0,5.0,0.0
1969,červenec,Havlíčkův Brod,17.9,43.9,0.0,,17.9,32.3,5.3,1.2,0.0,0.0,16.0,4.0
1969,srpen,Havlíčkův Brod,8.7,54.9,0.0,,15.4,28.7,4.8,0.9,0.0,0.0,7.0,0.0
1969,září,Havlíčkův Brod,3.0,7.3,0.0,,12.7,25.0,-1.8,1.6,0.0,0.0,1.0,0.0
1969,říjen,Havlíčkův Brod,4.5,17.4,0.0,,8.7,21.0,-1.0,1.4,0.0,0.0,0.0,0.0
1969,listopad,Havlíčkův Brod,8.8,44.0,22.0,,4.0,16.4,-13.4,2.3,0.0,2.0,0.0,0.0
1969,prosinec,Havlíčkův Brod,5.7,25.8,27.0,,-6.5,2.0,-25.5,1.3,3.0,29.0,0.0,0.0
1969,rok,Havlíčkův Brod,20.6,497.9,40.0,,6.9,32.3,-25.5,1.7,,,,
