Rok,Měsíc,Stanice,Precipitations_max,Precipitations_sum,Snow_height_max,Sunshine_sum,Temperatures_avg,Temperatures_max_max,Temperatures_min_min,Wind_avg,Arctic_days,Ice_days,Summer_days,Tropical_days
1961,leden,Hradec Králové,7.9,17.2,1.0,107.4,-2.2,8.8,-16.0,2.9,0.0,12.0,0.0,0.0
1961,únor,Hradec Králové,10.9,35.5,8.0,46.5,2.5,8.2,-9.8,2.6,0.0,0.0,0.0,0.0
1961,březen,Hradec Králové,7.5,28.6,2.0,111.8,5.9,18.0,-4.0,3.8,0.0,0.0,0.0,0.0
1961,duben,Hradec Králové,7.5,18.6,0.0,221.7,12.1,25.0,-0.7,3.5,0.0,0.0,1.0,0.0
1961,květen,Hradec Králové,22.9,81.1,0.0,154.4,11.4,25.7,3.0,2.6,0.0,0.0,1.0,0.0
1961,červen,Hradec Králové,15.0,59.0,0.0,241.6,17.6,30.5,6.1,2.2,0.0,0.0,10.0,1.0
1961,červenec,Hradec Králové,17.2,91.7,0.0,189.6,16.2,32.6,6.2,2.8,0.0,0.0,8.0,3.0
1961,srpen,Hradec Králové,34.6,75.7,0.0,189.4,16.7,31.5,5.5,2.9,0.0,0.0,8.0,2.0
1961,září,Hradec Králové,13.7,23.5,0.0,207.2,16.2,29.7,5.0,2.5,0.0,0.0,10.0,0.0
1961,říjen,Hradec Králové,10.6,35.5,0.0,127.5,10.5,21.5,-1.7,3.1,0.0,0.0,0.0,0.0
1961,listopad,Hradec Králové,9.8,34.4,0.0,46.4,3.6,13.0,-6.5,2.6,0.0,0.0,0.0,0.0
1961,prosinec,Hradec Králové,16.7,30.0,4.0,73.2,-2.1,16.2,-21.6,3.3,0.0,13.0,0.0,0.0
1961,rok,Hradec Králové,34.6,530.8,8.0,1716.7,9.0,32.6,-21.6,2.9,,,,
1962,leden,Hradec Králové,8.5,32.6,1.0,78.3,-0.1,9.9,-11.5,3.9,0.0,7.0,0.0,0.0
1962,únor,Hradec Králové,8.9,42.1,11.0,56.2,-1.0,7.2,-13.0,4.0,0.0,11.0,0.0,0.0
1962,březen,Hradec Králové,13.3,48.6,5.0,131.3,0.3,13.8,-11.9,3.3,0.0,3.0,0.0,0.0
1962,duben,Hradec Králové,6.4,25.4,0.0,165.7,10.3,29.1,-0.1,4.0,0.0,0.0,7.0,0.0
1962,květen,Hradec Králové,17.6,103.0,0.0,160.7,11.1,22.8,-1.5,2.5,0.0,0.0,0.0,0.0
1962,červen,Hradec Králové,10.7,25.4,0.0,246.6,15.6,31.0,2.5,2.5,0.0,0.0,9.0,4.0
1962,červenec,Hradec Králové,11.8,39.7,0.0,219.4,16.3,32.5,5.4,2.5,0.0,0.0,10.0,2.0
1962,srpen,Hradec Králové,10.0,28.0,0.0,265.2,18.0,33.1,4.5,2.6,0.0,0.0,14.0,2.0
1962,září,Hradec Králové,14.4,41.0,0.0,176.0,13.6,31.5,0.0,3.1,0.0,0.0,5.0,2.0
1962,říjen,Hradec Králové,14.9,28.0,0.0,166.2,8.9,25.1,-3.0,1.7,0.0,0.0,1.0,0.0
1962,listopad,Hradec Králové,13.6,54.7,0.0,37.3,3.7,15.5,-4.5,3.7,0.0,2.0,0.0,0.0
1962,prosinec,Hradec Králové,12.3,30.1,18.0,45.6,-4.6,4.3,-17.0,3.1,1.0,19.0,0.0,0.0
1962,rok,Hradec Králové,17.6,498.6,18.0,1748.5,7.7,33.1,-17.0,3.1,,,,
1963,leden,Hradec Králové,4.7,11.5,14.0,71.1,-8.0,3.8,-21.0,3.4,4.0,27.0,0.0,0.0
1963,únor,Hradec Králové,4.4,16.7,32.0,92.4,-5.4,4.5,-20.0,2.6,1.0,19.0,0.0,0.0
1963,březen,Hradec Králové,14.2,31.2,17.0,132.1,1.6,12.1,-16.3,3.3,0.0,2.0,0.0,0.0
1963,duben,Hradec Králové,5.8,15.8,0.0,167.6,9.5,22.9,-3.0,3.4,0.0,0.0,0.0,0.0
1963,květen,Hradec Králové,23.7,91.9,0.0,192.7,13.3,24.8,2.0,2.5,0.0,0.0,0.0,0.0
1963,červen,Hradec Králové,40.6,116.4,0.0,250.6,17.5,32.4,2.1,3.2,0.0,0.0,11.0,1.0
1963,červenec,Hradec Králové,12.1,33.7,0.0,289.0,19.9,35.4,7.5,2.1,0.0,0.0,19.0,6.0
1963,srpen,Hradec Králové,17.2,72.8,0.0,204.3,18.1,35.0,8.6,3.1,0.0,0.0,11.0,7.0
1963,září,Hradec Králové,31.8,94.6,0.0,162.2,15.3,26.5,5.2,2.9,0.0,0.0,6.0,0.0
1963,říjen,Hradec Králové,4.0,18.3,0.0,151.3,8.6,21.2,-1.5,3.0,0.0,0.0,0.0,0.0
1963,listopad,Hradec Králové,11.8,59.4,0.0,73.1,7.5,17.8,-0.6,4.0,0.0,0.0,0.0,0.0
1963,prosinec,Hradec Králové,3.0,6.6,6.0,75.7,-5.1,6.0,-17.5,2.6,0.0,22.0,0.0,0.0
1963,rok,Hradec Králové,40.6,568.9,32.0,1862.1,7.7,35.4,-21.0,3.0,,,,
1964,leden,Hradec Králové,1.7,6.5,5.0,66.0,-5.7,3.5,-15.2,2.2,0.0,22.0,0.0,0.0
1964,únor,Hradec Králové,2.7,16.6,6.0,89.3,-1.3,6.2,-17.6,4.2,0.0,7.0,0.0,0.0
1964,březen,Hradec Králové,10.8,31.2,1.0,100.0,-0.2,11.4,-12.0,2.9,0.0,10.0,0.0,0.0
1964,duben,Hradec Králové,8.2,35.4,0.0,191.7,9.9,22.5,-0.9,3.8,0.0,0.0,0.0,0.0
1964,květen,Hradec Králové,19.7,51.0,0.0,251.1,14.5,27.8,2.0,2.8,0.0,0.0,4.0,0.0
1964,červen,Hradec Králové,31.0,126.1,0.0,233.6,19.1,31.5,8.0,2.6,0.0,0.0,14.0,4.0
1964,červenec,Hradec Králové,11.4,41.2,0.0,279.4,19.4,34.5,6.8,2.2,0.0,0.0,18.0,6.0
1964,srpen,Hradec Králové,43.7,212.2,0.0,187.3,16.1,30.0,5.2,2.5,0.0,0.0,9.0,1.0
1964,září,Hradec Králové,5.7,18.1,0.0,204.4,13.8,26.8,2.0,3.6,0.0,0.0,4.0,0.0
1964,říjen,Hradec Králové,31.6,99.2,0.0,127.9,7.9,21.6,0.5,3.7,0.0,0.0,0.0,0.0
1964,listopad,Hradec Králové,7.8,39.5,0.0,42.7,4.4,13.0,-3.0,3.9,0.0,0.0,0.0,0.0
1964,prosinec,Hradec Králové,8.1,27.6,13.0,33.9,-0.5,5.0,-9.4,3.1,0.0,11.0,0.0,0.0
1964,rok,Hradec Králové,43.7,704.6,13.0,1807.3,8.1,34.5,-17.6,3.1,,,,
1965,leden,Hradec Králové,9.7,46.6,3.0,33.1,0.2,5.0,-8.4,3.1,0.0,4.0,0.0,0.0
1965,únor,Hradec Králové,1.9,13.9,11.0,82.5,-3.6,3.8,-14.2,3.9,0.0,14.0,0.0,0.0
1965,březen,Hradec Králové,7.4,36.8,17.0,127.1,1.7,15.2,-16.5,3.0,0.0,5.0,0.0,0.0
1965,duben,Hradec Králové,12.9,62.1,0.0,130.2,7.4,19.0,-3.0,2.9,0.0,0.0,0.0,0.0
1965,květen,Hradec Králové,23.0,133.3,0.0,159.1,11.4,24.0,-0.4,3.0,0.0,0.0,0.0,0.0
1965,červen,Hradec Králové,23.5,91.1,0.0,217.2,16.6,31.5,3.8,3.0,0.0,0.0,8.0,1.0
1965,červenec,Hradec Králové,34.3,107.7,0.0,169.7,16.6,31.8,7.0,3.1,0.0,0.0,5.0,1.0
1965,srpen,Hradec Králové,40.7,75.9,0.0,229.2,16.5,32.0,6.1,2.7,0.0,0.0,10.0,2.0
1965,září,Hradec Králové,10.6,40.3,0.0,171.2,14.4,25.4,3.5,3.4,0.0,0.0,2.0,0.0
1965,říjen,Hradec Králové,3.0,5.1,0.0,204.3,7.7,22.5,-4.6,2.2,0.0,0.0,0.0,0.0
1965,listopad,Hradec Králové,7.8,40.0,10.0,21.9,0.3,13.7,-14.2,3.8,0.0,8.0,0.0,0.0
1965,prosinec,Hradec Králové,21.0,75.7,9.0,45.1,1.7,11.0,-7.6,4.6,0.0,1.0,0.0,0.0
1965,rok,Hradec Králové,40.7,728.5,17.0,1590.6,7.6,32.0,-16.5,3.2,,,,
1966,leden,Hradec Králové,6.0,19.0,7.0,41.6,-4.9,8.0,-14.5,3.0,0.0,22.0,0.0,0.0
1966,únor,Hradec Králové,11.8,53.6,6.0,50.1,4.2,15.4,-7.8,3.4,0.0,0.0,0.0,0.0
1966,březen,Hradec Králové,4.4,34.6,5.0,81.3,3.3,11.8,-5.8,3.8,0.0,0.0,0.0,0.0
1966,duben,Hradec Králové,6.6,49.6,0.0,156.4,10.2,22.5,-1.4,2.8,0.0,0.0,0.0,0.0
1966,květen,Hradec Králové,14.2,48.9,0.0,222.4,13.7,27.5,2.8,2.9,0.0,0.0,6.0,0.0
1966,červen,Hradec Králové,26.6,77.8,0.0,203.2,17.7,31.7,3.3,2.8,0.0,0.0,14.0,3.0
1966,červenec,Hradec Králové,14.7,106.1,0.0,173.9,17.2,30.1,7.3,2.4,0.0,0.0,7.0,1.0
1966,srpen,Hradec Králové,30.9,177.6,0.0,187.6,16.5,32.8,7.1,2.7,0.0,0.0,7.0,2.0
1966,září,Hradec Králové,17.7,37.3,0.0,148.9,13.2,26.6,3.0,2.6,0.0,0.0,2.0,0.0
1966,říjen,Hradec Králové,18.8,48.5,0.0,106.2,12.8,25.6,-4.5,3.3,0.0,0.0,2.0,0.0
1966,listopad,Hradec Králové,6.6,33.4,3.0,36.9,3.2,15.5,-4.7,3.7,0.0,0.0,0.0,0.0
1966,prosinec,Hradec Králové,14.9,93.6,8.0,46.4,0.8,7.7,-6.8,4.1,0.0,4.0,0.0,0.0
1966,rok,Hradec Králové,30.9,780.0,8.0,1454.9,9.0,32.8,-14.5,3.1,,,,
1967,leden,Hradec Králové,7.7,54.1,17.0,60.4,-2.1,5.7,-17.3,3.4,1.0,12.0,0.0,0.0
1967,únor,Hradec Králové,11.3,47.0,0.0,101.8,1.5,12.5,-11.3,5.0,0.0,2.0,0.0,0.0
1967,březen,Hradec Králové,5.8,36.7,1.0,125.2,5.4,17.1,-2.2,4.2,0.0,0.0,0.0,0.0
1967,duben,Hradec Králové,9.5,42.6,0.0,152.1,7.6,23.2,-3.9,3.3,0.0,0.0,0.0,0.0
1967,květen,Hradec Králové,28.6,114.5,0.0,202.6,13.9,27.6,-0.4,3.2,0.0,0.0,3.0,0.0
1967,červen,Hradec Králové,14.9,45.5,0.0,237.9,16.4,33.0,3.8,2.5,0.0,0.0,11.0,4.0
1967,červenec,Hradec Králové,13.6,33.6,0.0,255.3,20.2,33.2,8.1,2.1,0.0,0.0,20.0,7.0
1967,srpen,Hradec Králové,25.1,52.5,0.0,200.3,17.8,33.5,6.8,2.3,0.0,0.0,11.0,3.0
1967,září,Hradec Králové,24.2,146.0,0.0,139.0,15.1,29.7,4.3,2.4,0.0,0.0,4.0,0.0
1967,říjen,Hradec Králové,6.6,29.0,0.0,155.1,11.6,24.2,-1.5,3.5,0.0,0.0,0.0,0.0
1967,listopad,Hradec Králové,12.6,37.0,1.0,79.6,3.7,12.2,-6.1,2.9,0.0,1.0,0.0,0.0
1967,prosinec,Hradec Králové,28.0,80.6,19.0,25.4,-1.0,10.2,-12.4,3.6,0.0,11.0,0.0,0.0
1967,rok,Hradec Králové,28.6,719.1,19.0,1734.7,9.2,33.5,-17.3,3.2,,,,
1968,leden,Hradec Králové,19.9,59.2,24.0,40.1,-3.4,7.0,-23.9,3.4,1.0,14.0,0.0,0.0
1968,únor,Hradec Králové,5.8,25.1,3.0,40.3,0.9,7.9,-9.5,2.4,0.0,4.0,0.0,0.0
1968,březen,Hradec Králové,5.8,23.4,6.0,148.1,4.7,23.2,-8.9,4.3,0.0,0.0,0.0,0.0
1968,duben,Hradec Králové,8.8,33.2,0.0,205.8,10.0,29.5,-4.0,2.9,0.0,0.0,4.0,0.0
1968,květen,Hradec Králové,14.2,93.2,0.0,187.5,12.3,27.2,1.3,3.0,0.0,0.0,4.0,0.0
