Rok,Měsíc,Stanice,Precipitations_max,Precipitations_sum,Snow_height_max,Sunshine_sum,Temperatures_avg,Temperatures_max_max,Temperatures_min_min,Wind_avg,Arctic_days,Ice_days,Summer_days,Tropical_days
1961,leden,Liberec,18.0,41.0,6.0,65.8,-3.1,6.2,-20.3,3.7,0.0,18.0,0.0,0.0
1961,únor,Liberec,13.1,58.8,11.0,30.7,1.7,8.4,-9.6,3.5,0.0,2.0,0.0,0.0
1961,březen,Liberec,13.9,64.4,12.0,102.9,4.9,17.6,-5.6,3.5,0.0,0.0,0.0,0.0
1961,duben,Liberec,14.6,80.6,0.0,189.7,10.6,22.9,-0.9,2.7,0.0,0.0,0.0,0.0
1961,květen,Liberec,27.3,147.4,0.0,97.3,9.3,23.3,2.1,2.7,0.0,0.0,0.0,0.0
1961,červen,Liberec,27.0,129.2,0.0,231.9,15.7,28.6,3.9,2.0,0.0,0.0,6.0,0.0
1961,červenec,Liberec,35.6,115.2,0.0,152.6,14.7,30.3,6.1,2.5,0.0,0.0,4.0,2.0
1961,srpen,Liberec,12.2,50.7,0.0,150.8,15.1,29.1,5.7,1.9,0.0,0.0,5.0,0.0
1961,září,Liberec,12.2,40.6,0.0,195.3,15.2,28.9,5.7,2.1,0.0,0.0,8.0,0.0
1961,říjen,Liberec,8.9,51.5,0.0,119.4,9.7,20.3,1.7,3.7,0.0,0.0,0.0,0.0
1961,listopad,Liberec,14.1,54.0,0.0,47.8,3.0,10.8,-5.5,3.5,0.0,0.0,0.0,0.0
1961,prosinec,Liberec,22.1,61.0,10.0,42.8,-3.1,14.7,-22.4,4.3,2.0,16.0,0.0,0.0
1961,rok,Liberec,35.6,894.4,12.0,1427.0,7.8,30.3,-22.4,3.0,,,,
1962,leden,Liberec,11.8,64.4,17.0,31.4,-1.0,7.6,-15.7,4.6,0.0,10.0,0.0,0.0
1962,únor,Liberec,12.0,54.9,24.0,40.9,-2.4,5.6,-17.9,4.9,0.0,12.0,0.0,0.0
1962,březen,Liberec,11.7,57.1,13.0,,-1.4,11.0,-10.2,2.8,0.0,6.0,0.0,0.0
1962,duben,Liberec,10.5,52.2,0.0,,8.5,27.6,-2.1,3.1,0.0,0.0,3.0,0.0
1962,květen,Liberec,16.8,99.8,0.0,146.5,9.2,22.1,-3.7,1.9,0.0,0.0,0.0,0.0
1962,červen,Liberec,8.2,28.8,0.0,234.7,13.3,29.1,0.1,2.6,0.0,0.0,7.0,0.0
1962,červenec,Liberec,9.7,71.7,0.0,174.8,14.5,29.5,2.5,1.9,0.0,0.0,4.0,0.0
1962,srpen,Liberec,23.1,71.7,0.0,206.2,15.6,31.0,6.0,1.9,0.0,0.0,5.0,1.0
1962,září,Liberec,15.4,60.3,0.0,169.0,11.8,27.1,1.6,2.6,0.0,0.0,2.0,0.0
