Rok,Měsíc,Stanice,Precipitations_max,Precipitations_sum,Snow_height_max,Sunshine_sum,Temperatures_avg,Temperatures_max_max,Temperatures_min_min,Wind_avg,Arctic_days,Ice_days,Summer_days,Tropical_days
1966,říjen,Mariánské Lázně,14.6,53.4,0.0,,,,,,,,,
1966,listopad,Mariánské Lázně,9.5,33.4,17.0,,,,,,,,,
1966,prosinec,Mariánské Lázně,14.7,132.0,38.0,,,,,,,,,
1967,leden,Mariánské Lázně,9.7,46.5,50.0,24.4,-3.2,10.0,-21.0,1.1,1.0,15.0,0.0,0.0
1967,únor,Mariánské Lázně,15.4,74.4,28.0,95.3,-1.0,11.0,-12.2,1.5,0.0,7.0,0.0,0.0
1967,březen,Mariánské Lázně,14.0,80.0,35.0,85.7,2.0,14.3,-5.0,1.6,0.0,0.0,0.0,0.0
1967,duben,Mariánské Lázně,13.0,42.7,5.0,138.4,4.1,18.0,-4.4,1.2,0.0,0.0,0.0,0.0
1967,květen,Mariánské Lázně,22.4,91.0,0.0,199.6,10.5,24.5,-1.0,1.2,0.0,0.0,0.0,0.0
1967,červen,Mariánské Lázně,12.0,61.8,0.0,184.0,12.7,30.6,2.0,1.1,0.0,0.0,4.0,1.0
1967,červenec,Mariánské Lázně,14.0,54.8,0.0,246.5,17.2,29.2,5.5,1.0,0.0,0.0,11.0,0.0
1967,srpen,Mariánské Lázně,20.9,71.6,0.0,180.0,14.2,29.0,3.5,1.2,0.0,0.0,4.0,0.0
1967,září,Mariánské Lázně,16.7,80.2,0.0,122.4,11.5,24.1,3.5,1.2,0.0,0.0,0.0,0.0
1967,říjen,Mariánské Lázně,12.3,54.0,1.0,123.1,8.9,20.6,-3.5,1.6,0.0,0.0,0.0,0.0
1967,listopad,Mariánské Lázně,5.0,24.2,3.0,66.1,1.4,11.2,-4.5,1.3,0.0,4.0,0.0,0.0
1967,prosinec,Mariánské Lázně,39.0,145.1,55.0,27.5,-2.6,8.6,-14.0,1.6,0.0,15.0,0.0,0.0
1967,rok,Mariánské Lázně,39.0,826.3,55.0,1493.0,6.3,30.6,-21.0,1.3,,,,
1968,leden,Mariánské Lázně,25.4,121.8,54.0,33.6,-4.5,4.9,-18.0,2.2,2.0,18.0,0.0,0.0
1968,únor,Mariánské Lázně,8.6,39.1,48.0,33.7,-1.9,6.7,-11.1,1.1,0.0,12.0,0.0,0.0
1968,březen,Mariánské Lázně,13.2,66.0,76.0,131.2,0.8,20.4,-11.5,1.9,0.0,7.0,0.0,0.0
1968,duben,Mariánské Lázně,21.0,65.1,5.0,191.2,5.8,27.0,-6.8,1.4,0.0,0.0,2.0,0.0
1968,květen,Mariánské Lázně,11.0,60.6,0.0,167.1,8.8,23.2,-0.8,1.7,0.0,0.0,0.0,0.0
1968,červen,Mariánské Lázně,15.5,65.8,0.0,199.2,14.0,26.0,2.8,1.4,0.0,0.0,4.0,0.0
1968,červenec,Mariánské Lázně,10.8,63.1,0.0,209.0,14.3,27.0,4.0,1.4,0.0,0.0,5.0,0.0
1968,srpen,Mariánské Lázně,26.2,144.5,0.0,142.5,13.9,24.2,3.0,1.1,0.0,0.0,0.0,0.0
1968,září,Mariánské Lázně,19.4,103.6,0.0,109.5,10.6,22.3,0.7,1.0,0.0,0.0,0.0,0.0
1968,říjen,Mariánské Lázně,18.8,60.4,0.0,91.0,7.2,17.8,-2.3,1.1,0.0,0.0,0.0,0.0
1968,listopad,Mariánské Lázně,14.7,42.0,2.0,22.3,1.0,11.7,-8.2,1.2,0.0,7.0,0.0,0.0
1968,prosinec,Mariánské Lázně,7.0,43.5,30.0,11.9,-5.0,3.0,-15.0,,0.0,27.0,0.0,0.0
1968,rok,Mariánské Lázně,26.2,875.5,76.0,1342.2,5.4,27.0,-18.0,,,,,
1969,leden,Mariánské Lázně,7.1,45.6,35.0,5.2,-3.3,4.6,-11.8,1.1,0.0,17.0,0.0,0.0
1969,únor,Mariánské Lázně,18.0,38.2,60.0,42.7,-4.6,9.5,-19.5,1.3,0.0,18.0,0.0,0.0
1969,březen,Mariánské Lázně,9.5,50.8,34.0,70.4,-1.5,8.2,-10.5,1.2,0.0,7.0,0.0,0.0
1969,duben,Mariánské Lázně,11.0,96.0,19.0,119.9,4.1,22.2,-6.7,1.2,0.0,0.0,0.0,0.0
1969,květen,Mariánské Lázně,8.8,23.3,0.0,186.6,11.7,28.6,1.5,1.2,0.0,0.0,2.0,0.0
1969,červen,Mariánské Lázně,17.0,76.6,0.0,172.2,13.0,25.5,4.0,1.2,0.0,0.0,2.0,0.0
1969,červenec,Mariánské Lázně,3.8,8.5,0.0,235.5,17.0,31.0,3.5,1.1,0.0,0.0,10.0,2.0
1969,srpen,Mariánské Lázně,19.5,86.9,0.0,162.4,14.2,27.5,3.5,1.1,0.0,0.0,7.0,0.0
1969,říjen,Mariánské Lázně,12.5,38.4,0.0,150.0,7.8,19.6,0.6,1.2,0.0,0.0,0.0,0.0
1969,listopad,Mariánské Lázně,9.4,61.3,26.0,56.5,2.3,11.5,-9.0,1.7,0.0,5.0,0.0,0.0
1970,únor,Mariánské Lázně,18.0,104.7,76.0,,,,,,,,,
1970,duben,Mariánské Lázně,12.5,80.1,49.0,,,,,,,,,
1971,červenec,Mariánské Lázně,7.1,7.8,0.0,,,,,,,,,
1971,srpen,Mariánské Lázně,10.1,51.1,0.0,,,,,,,,,
1971,září,Mariánské Lázně,15.2,42.9,0.0,,9.3,24.0,-1.9,1.4,0.0,0.0,0.0,0.0
1971,říjen,Mariánské Lázně,10.6,15.8,0.0,,6.1,22.0,-4.0,1.3,0.0,0.0,0.0,0.0
1971,listopad,Mariánské Lázně,20.0,54.9,12.0,,0.6,13.6,-10.4,1.7,0.0,6.0,0.0,0.0
1971,prosinec,Mariánské Lázně,19.0,57.2,9.0,,0.6,8.0,-8.0,1.8,0.0,7.0,0.0,0.0
1972,leden,Mariánské Lázně,2.1,11.6,12.0,,-5.2,4.6,-15.2,1.5,0.0,26.0,0.0,0.0
1972,únor,Mariánské Lázně,2.5,3.7,14.0,,-1.5,5.7,-11.5,1.1,0.0,10.0,0.0,0.0
1972,březen,Mariánské Lázně,17.0,26.2,5.0,,2.9,16.6,-10.6,2.5,0.0,1.0,0.0,0.0
