Rok;Statistika;Hodnota leden;Datum leden;Hodnota únor;Datum únor;Hodnota bøezen;Datum bøezen;Hodnota duben;Datum duben;Hodnota kvìten;Datum kvìten;Hodnota èerven;Datum èerven;Hodnota èervenec;Datum èervenec;Hodnota srpen;Datum srpen;Hodnota záøí;Datum záøí;Hodnota øíjen;Datum øíjen;Hodnota listopad;Datum listopad;Hodnota prosinec;Datum prosinec;Hodnota rok;Datum rok;
1966;MAX;;;;;;;;;;;;;;;;;;;0;01.10.1966*;17;20.11.1966;38;26.12.1966;;;
1967;MAX;50;14.01.1967;28;01.02.1967;35;21.03.1967;5;06.04.1967;0;01.05.1967*;0;01.06.1967*;0;01.07.1967*;0;01.08.1967*;0;01.09.1967*;1;19.10.1967;3;28.11.1967*;55;22.12.1967;55;22.12.1967;
1968;MAX;54;27.01.1968;48;01.02.1968*;76;11.03.1968;5;06.04.1968;0;01.05.1968*;0;01.06.1968*;0;01.07.1968*;0;01.08.1968*;0;01.09.1968*;0;01.10.1968*;2;17.11.1968*;30;31.12.1968;76;11.03.1968;
1969;MAX;35;03.01.1969;60;16.02.1969*;34;01.03.1969*;19;01.04.1969*;0;01.05.1969*;0;01.06.1969*;0;01.07.1969*;0;01.08.1969*;;;0;01.10.1969*;26;29.11.1969;;;;;
1970;MAX;;;76;22.02.1970;;;49;09.04.1970;;;;;;;;;;;;;;;;;;;
1971;MAX;;;;;;;;;;;;;0;01.07.1971*;0;01.08.1971*;0;01.09.1971*;0;01.10.1971*;12;25.11.1971*;9;10.12.1971;;;
1972;MAX;12;30.01.1972*;14;01.02.1972*;5;29.03.1972;0;01.04.1972*;0;01.05.1972*;0;01.06.1972*;0;01.07.1972*;0;01.08.1972*;0;01.09.1972*;5;21.10.1972;7;20.11.1972;0;01.12.1972*;14;01.02.1972*;
1973;MAX;18;30.01.1973;45;28.02.1973;50;04.03.1973;19;13.04.1973;0;01.05.1973*;0;01.06.1973*;0;01.07.1973*;0;01.08.1973*;0;01.09.1973*;2;22.10.1973*;25;30.11.1973;51;17.12.1973;51;17.12.1973;
1974;MAX;27;01.01.1974*;25;10.02.1974;5;01.03.1974*;2;26.04.1974;0;01.05.1974*;0;01.06.1974*;0;01.07.1974*;0;01.08.1974*;0;01.09.1974*;21;23.10.1974;9;30.11.1974;23;14.12.1974;27;01.01.1974*;
1975;MAX;9;09.01.1975;17;20.02.1975*;14;27.03.1975;10;01.04.1975*;0;01.05.1975*;0;01.06.1975*;0;01.07.1975*;0;01.08.1975*;0;01.09.1975*;0;01.10.1975*;18;23.11.1975;14;27.12.1975;18;23.11.1975;
1976;MAX;19;26.01.1976*;26;15.02.1976;8;01.03.1976;2;08.04.1976*;0;01.05.1976*;0;01.06.1976*;0;01.07.1976*;0;01.08.1976*;0;01.09.1976*;0;01.10.1976*;20;25.11.1976;25;16.12.1976*;26;15.02.1976;
1977;MAX;33;20.01.1977*;13;01.02.1977;1;01.03.1977*;7;12.04.1977;0;01.05.1977*;0;01.06.1977*;0;01.07.1977*;0;01.08.1977*;0;01.09.1977*;0;01.10.1977*;19;23.11.1977*;21;31.12.1977;33;20.01.1977*;
1978;MAX;46;28.01.1978*;52;12.02.1978;20;01.03.1978;0;01.04.1978*;0;01.05.1978*;0;01.06.1978*;0;01.07.1978*;0;01.08.1978*;0;01.09.1978*;0;01.10.1978*;2;30.11.1978;9;09.12.1978;52;12.02.1978;
1979;MAX;46;18.01.1979*;42;08.02.1979;34;01.03.1979;13;01.04.1979;0;01.05.1979*;0;01.06.1979*;0;01.07.1979*;0;01.08.1979*;0;01.09.1979*;0;01.10.1979*;15;20.11.1979;20;31.12.1979;46;18.01.1979*;
1980;MAX;57;27.01.1980;46;05.02.1980;27;04.03.1980;42;25.04.1980;0;01.05.1980*;0;01.06.1980*;0;01.07.1980*;0;01.08.1980*;0;01.09.1980*;0;01.10.1980*;6;07.11.1980;29;08.12.1980*;57;27.01.1980;
1983;MAX;17;16.01.1983;27;13.02.1983;10;01.03.1983;7;15.04.1983;0;01.05.1983*;0;01.06.1983*;0;01.07.1983*;0;01.08.1983*;0;01.09.1983*;0;01.10.1983*;4;17.11.1983;19;12.12.1983;27;13.02.1983;
