Rok,Měsíc,Stanice,Precipitations_max,Precipitations_sum,Snow_height_max,Sunshine_sum,Temperatures_avg,Temperatures_max_max,Temperatures_min_min,Wind_avg,Arctic_days,Ice_days,Summer_days,Tropical_days
1961,leden,Nová Ves v Horách,6.8,28.3,41.0,,-4.3,4.3,-16.2,1.8,0.0,26.0,0.0,0.0
1961,únor,Nová Ves v Horách,21.8,103.8,30.0,,0.7,13.0,-9.9,2.1,0.0,11.0,0.0,0.0
1961,březen,Nová Ves v Horách,21.0,97.4,16.0,,3.7,17.8,-6.0,3.1,0.0,3.0,0.0,0.0
1961,duben,Nová Ves v Horách,28.4,82.4,0.0,,9.2,21.0,-0.1,1.1,0.0,0.0,0.0,0.0
1961,květen,Nová Ves v Horách,14.9,91.7,0.0,,7.5,18.8,0.0,2.0,0.0,0.0,0.0,0.0
1961,červen,Nová Ves v Horách,16.6,74.5,0.0,,14.2,27.0,5.0,1.2,0.0,0.0,2.0,0.0
1961,červenec,Nová Ves v Horách,24.0,43.9,0.0,,13.2,28.0,5.0,2.0,0.0,0.0,4.0,0.0
1961,srpen,Nová Ves v Horách,16.9,57.7,0.0,,14.5,27.5,6.0,1.3,0.0,0.0,1.0,0.0
1961,září,Nová Ves v Horách,14.7,34.7,0.0,,14.7,25.5,6.8,1.0,0.0,0.0,1.0,0.0
1961,říjen,Nová Ves v Horách,18.6,29.6,0.0,,8.4,20.0,0.7,2.2,0.0,0.0,0.0,0.0
1961,listopad,Nová Ves v Horách,36.5,76.1,3.0,,1.1,9.4,-6.5,1.8,0.0,6.0,0.0,0.0
1961,prosinec,Nová Ves v Horách,24.5,54.6,8.0,,-4.7,12.5,-20.4,2.1,3.0,21.0,0.0,0.0
1961,rok,Nová Ves v Horách,36.5,774.7,41.0,,6.5,28.0,-20.4,1.8,,,,
1962,leden,Nová Ves v Horách,18.2,40.2,8.0,,-2.1,6.3,-12.5,2.6,0.0,14.0,0.0,0.0
1962,únor,Nová Ves v Horách,8.9,46.5,54.0,,-3.5,5.1,-15.0,5.2,0.0,15.0,0.0,0.0
1962,březen,Nová Ves v Horách,10.8,29.0,55.0,,-3.2,7.0,-13.2,1.4,0.0,19.0,0.0,0.0
1962,duben,Nová Ves v Horách,8.8,45.1,4.0,,6.8,23.8,-3.0,2.6,0.0,0.0,0.0,0.0
1962,květen,Nová Ves v Horách,8.5,46.8,0.0,,7.1,19.2,-3.0,2.1,0.0,0.0,0.0,0.0
1962,červen,Nová Ves v Horách,10.0,50.9,0.0,,11.2,25.5,0.2,1.7,0.0,0.0,2.0,0.0
1962,červenec,Nová Ves v Horách,16.3,78.0,0.0,,13.5,27.6,4.8,1.6,0.0,0.0,1.0,0.0
1962,srpen,Nová Ves v Horách,12.0,54.4,0.0,,14.2,28.0,5.0,1.7,0.0,0.0,4.0,0.0
1962,září,Nová Ves v Horách,18.5,66.7,0.0,,10.2,25.0,0.6,2.2,0.0,0.0,1.0,0.0
1962,říjen,Nová Ves v Horách,4.2,10.4,0.0,,6.5,18.4,-2.5,1.1,0.0,0.0,0.0,0.0
1962,listopad,Nová Ves v Horách,9.9,21.3,3.0,,-0.2,10.6,-9.0,2.3,0.0,11.0,0.0,0.0
1962,prosinec,Nová Ves v Horách,11.2,37.7,33.0,,-7.1,6.4,-20.2,1.9,7.0,22.0,0.0,0.0
1962,rok,Nová Ves v Horách,18.5,527.0,55.0,,4.4,28.0,-20.2,2.2,,,,
1963,leden,Nová Ves v Horách,18.0,53.9,59.0,,-10.8,-0.5,-24.5,2.7,11.0,31.0,0.0,0.0
1963,únor,Nová Ves v Horách,9.0,29.0,70.0,,-7.5,-0.5,-18.0,0.9,1.0,28.0,0.0,0.0
1963,březen,Nová Ves v Horách,2.8,11.0,50.0,,0.0,10.2,-12.5,1.6,0.0,4.0,0.0,0.0
1963,duben,Nová Ves v Horách,7.7,32.6,0.0,,5.4,16.5,-5.0,1.6,0.0,1.0,0.0,0.0
1963,květen,Nová Ves v Horách,16.5,69.6,0.0,,9.6,20.5,0.0,2.1,0.0,0.0,0.0,0.0
1963,červen,Nová Ves v Horách,10.6,51.2,0.0,,13.9,26.2,2.5,1.9,0.0,0.0,1.0,0.0
1963,červenec,Nová Ves v Horách,17.4,74.1,0.0,,16.2,28.9,5.0,0.9,0.0,0.0,5.0,0.0
1963,srpen,Nová Ves v Horách,17.2,60.4,0.0,,14.4,28.5,6.0,1.7,0.0,0.0,6.0,0.0
1963,září,Nová Ves v Horách,16.4,83.1,0.0,,11.9,21.8,2.0,2.1,0.0,0.0,0.0,0.0
1963,říjen,Nová Ves v Horách,10.4,22.9,0.0,,6.1,18.5,0.0,2.0,0.0,0.0,0.0,0.0
1963,listopad,Nová Ves v Horách,7.5,42.4,3.0,,4.1,13.0,-3.0,3.4,0.0,0.0,0.0,0.0
1963,prosinec,Nová Ves v Horách,6.0,14.7,8.0,,-6.8,7.5,-17.2,1.3,3.0,27.0,0.0,0.0
1963,rok,Nová Ves v Horách,18.0,544.9,70.0,,4.7,28.9,-24.5,1.8,,,,
1964,leden,Nová Ves v Horách,3.9,17.6,26.0,,-6.2,0.0,-15.4,1.2,2.0,31.0,0.0,0.0
1964,únor,Nová Ves v Horách,8.6,32.4,45.0,,-5.2,3.0,-16.3,6.6,0.0,25.0,0.0,0.0
1964,březen,Nová Ves v Horách,18.1,37.4,20.0,,-3.3,7.5,-14.5,1.2,0.0,19.0,0.0,0.0
1964,duben,Nová Ves v Horách,19.0,40.6,5.0,,6.0,19.2,-3.9,2.1,0.0,1.0,0.0,0.0
1964,květen,Nová Ves v Horách,9.2,26.7,0.0,,11.0,23.0,1.0,1.6,0.0,0.0,0.0,0.0
1964,červen,Nová Ves v Horách,9.9,44.9,0.0,,15.5,27.5,5.0,1.5,0.0,0.0,4.0,0.0
1964,červenec,Nová Ves v Horách,11.4,25.4,0.0,,16.0,29.0,4.0,1.9,0.0,0.0,11.0,0.0
1964,srpen,Nová Ves v Horách,19.5,72.2,0.0,136.2,13.1,27.4,3.0,2.0,0.0,0.0,4.0,0.0
1964,září,Nová Ves v Horách,6.0,27.9,0.0,178.9,10.6,25.0,-2.0,2.1,0.0,0.0,1.0,0.0
1964,říjen,Nová Ves v Horách,12.0,67.2,0.0,98.1,4.6,16.0,-2.0,1.5,0.0,0.0,0.0,0.0
1964,listopad,Nová Ves v Horách,8.6,31.8,3.0,16.5,1.3,9.2,-5.0,2.0,0.0,8.0,0.0,0.0
1964,prosinec,Nová Ves v Horách,5.0,22.0,20.0,18.1,-3.2,7.2,-9.7,1.6,0.0,21.0,0.0,0.0
1964,rok,Nová Ves v Horách,19.5,446.1,45.0,,5.0,29.0,-16.3,2.1,,,,
1965,leden,Nová Ves v Horách,9.2,70.3,20.0,0.7,-2.5,5.0,-8.2,1.3,0.0,24.0,0.0,0.0
1965,únor,Nová Ves v Horách,16.2,128.0,150.0,19.8,-6.2,0.8,-13.6,2.2,0.0,27.0,0.0,0.0
1965,březen,Nová Ves v Horách,13.0,40.6,,88.6,-1.9,12.0,-14.0,1.6,0.0,14.0,0.0,0.0
1965,duben,Nová Ves v Horách,22.0,123.1,16.0,101.7,3.9,14.0,-4.0,1.0,0.0,0.0,0.0,0.0
1965,květen,Nová Ves v Horách,38.0,181.4,0.0,119.7,8.3,21.0,0.0,2.2,0.0,0.0,0.0,0.0
1965,červen,Nová Ves v Horách,15.7,100.0,0.0,150.0,12.9,24.5,0.0,1.1,0.0,0.0,0.0,0.0
1965,červenec,Nová Ves v Horách,12.5,81.8,0.0,151.4,12.4,25.0,3.5,1.1,0.0,0.0,1.0,0.0
