Rok;Statistika;Hodnota leden;Datum leden;Hodnota únor;Datum únor;Hodnota bøezen;Datum bøezen;Hodnota duben;Datum duben;Hodnota kvìten;Datum kvìten;Hodnota èerven;Datum èerven;Hodnota èervenec;Datum èervenec;Hodnota srpen;Datum srpen;Hodnota záøí;Datum záøí;Hodnota øíjen;Datum øíjen;Hodnota listopad;Datum listopad;Hodnota prosinec;Datum prosinec;Hodnota rok;Datum rok;
1961;MAX;41;24.01.1961*;30;05.02.1961;16;22.03.1961;0;01.04.1961*;0;01.05.1961*;0;01.06.1961*;0;01.07.1961*;0;01.08.1961*;0;01.09.1961*;0;01.10.1961*;3;07.11.1961;8;23.12.1961*;41;24.01.1961*;
1962;MAX;8;01.01.1962;54;28.02.1962;55;05.03.1962;4;30.04.1962;0;01.05.1962*;0;01.06.1962*;0;01.07.1962*;0;01.08.1962*;0;01.09.1962*;0;01.10.1962*;3;29.11.1962*;33;31.12.1962;55;05.03.1962;
1963;MAX;59;28.01.1963*;70;20.02.1963;50;01.03.1963;0;01.04.1963*;0;01.05.1963*;0;01.06.1963*;0;01.07.1963*;0;01.08.1963*;0;01.09.1963*;0;01.10.1963*;3;28.11.1963;8;16.12.1963*;70;20.02.1963;
1964;MAX;26;28.01.1964*;45;19.02.1964*;20;01.03.1964;5;10.04.1964;0;01.05.1964*;0;01.06.1964*;0;01.07.1964*;0;01.08.1964*;0;01.09.1964*;0;01.10.1964*;3;30.11.1964;20;07.12.1964;45;19.02.1964*;
1965;MAX;20;11.01.1965;150;28.02.1965;;;16;30.04.1965;0;01.05.1965*;0;01.06.1965*;0;01.07.1965*;0;01.08.1965*;0;01.09.1965*;0;01.10.1965*;40;30.11.1965;;;;;
1966;MAX;38;17.01.1966;15;10.02.1966;40;17.03.1966;2;23.04.1966;0;01.05.1966*;0;01.06.1966*;0;01.07.1966*;0;01.08.1966*;0;01.09.1966*;0;01.10.1966*;10;23.11.1966;42;26.12.1966;42;26.12.1966;
1967;MAX;51;25.01.1967;;;;;4;25.04.1967;0;01.05.1967*;0;01.06.1967*;0;01.07.1967*;0;01.08.1967*;0;01.09.1967*;0;01.10.1967*;3;28.11.1967;37;19.12.1967;;;
1968;MAX;;;;;39;18.03.1968*;0;01.04.1968*;0;01.05.1968*;0;01.06.1968*;0;01.07.1968*;0;01.08.1968*;0;01.09.1968*;0;01.10.1968*;;;15;31.12.1968;;;
1969;MAX;19;05.01.1969;42;16.02.1969*;25;27.03.1969;26;20.04.1969;0;01.05.1969*;0;01.06.1969*;0;01.07.1969*;0;01.08.1969*;0;01.09.1969*;0;01.10.1969*;24;30.11.1969;60;31.12.1969;60;31.12.1969;
1970;MAX;67;31.01.1970;96;13.02.1970*;193;20.03.1970;20;03.04.1970*;1;01.05.1970*;0;01.06.1970*;0;01.07.1970*;0;01.08.1970*;0;01.09.1970*;0;01.10.1970*;0;01.11.1970*;;;;;
