Rok,Měsíc,Stanice,Precipitations_max,Precipitations_sum,Snow_height_max,Sunshine_sum,Temperatures_avg,Temperatures_max_max,Temperatures_min_min,Wind_avg,Arctic_days,Ice_days,Summer_days,Tropical_days
1961,leden,Plzeň - Bolevec,13.3,33.6,,,-3.2,,,0.4,,,,
1961,únor,Plzeň - Bolevec,10.6,56.8,,,2.8,,,1.0,,,,
1961,březen,Plzeň - Bolevec,8.1,37.1,,,7.0,,,2.0,,,,
1961,duben,Plzeň - Bolevec,10.9,31.0,,,11.5,,,1.2,,,,
1961,květen,Plzeň - Bolevec,15.7,58.3,,,11.2,,,1.3,,,,
1961,červen,Plzeň - Bolevec,6.6,40.6,,,17.2,,,1.5,,,,
1961,červenec,Plzeň - Bolevec,19.8,61.9,,,15.9,,,1.4,,,,
1961,srpen,Plzeň - Bolevec,26.8,56.4,,,16.1,,,0.7,,,,
1961,září,Plzeň - Bolevec,6.1,20.6,,,15.1,,,0.6,,,,
1961,říjen,Plzeň - Bolevec,11.0,35.0,,,9.6,,,0.4,,,,
1961,listopad,Plzeň - Bolevec,12.0,45.7,,,3.1,,,0.7,,,,
1961,prosinec,Plzeň - Bolevec,15.3,42.6,,,-1.9,,,1.1,,,,
1961,rok,Plzeň - Bolevec,26.8,519.6,,,8.7,,,1.0,,,,
1962,leden,Plzeň - Bolevec,6.3,31.8,,,0.1,,,1.3,,,,
1962,únor,Plzeň - Bolevec,14.7,52.1,,,-0.3,,,2.1,,,,
1962,březen,Plzeň - Bolevec,11.9,32.0,,,0.1,,,0.9,,,,
1962,duben,Plzeň - Bolevec,8.8,23.4,,,9.7,,,1.3,,,,
1962,květen,Plzeň - Bolevec,7.6,32.9,,,10.9,,,1.4,,,,
1962,červen,Plzeň - Bolevec,9.1,17.9,,,15.3,,,2.2,,,,
1962,červenec,Plzeň - Bolevec,14.0,46.1,,,16.0,,,1.1,,,,
1962,srpen,Plzeň - Bolevec,20.6,58.9,,,16.8,,,1.2,,,,
1962,září,Plzeň - Bolevec,13.0,50.4,,,12.3,,,1.1,,,,
1962,říjen,Plzeň - Bolevec,6.7,13.0,,,7.7,,,0.6,,,,
1962,listopad,Plzeň - Bolevec,3.1,8.4,,,3.9,,,1.1,,,,
1962,prosinec,Plzeň - Bolevec,13.9,41.7,,,-4.3,,,1.2,,,,
1962,rok,Plzeň - Bolevec,20.6,408.6,,,7.3,,,1.3,,,,
1963,leden,Plzeň - Bolevec,5.9,19.1,,,-7.0,,,1.2,,,,
1963,únor,Plzeň - Bolevec,7.2,14.6,,,-5.4,,,0.4,,,,
1963,březen,Plzeň - Bolevec,8.1,18.4,,,1.7,,,1.1,,,,
1963,duben,Plzeň - Bolevec,4.9,17.0,,,9.1,,,1.2,,,,
1963,květen,Plzeň - Bolevec,10.2,41.8,,,13.4,,,1.3,,,,
1963,červen,Plzeň - Bolevec,22.0,80.1,,,17.2,,,1.7,,,,
1963,červenec,Plzeň - Bolevec,15.6,37.4,,,19.3,,,1.0,,,,
1963,srpen,Plzeň - Bolevec,22.8,76.2,,,17.3,,,1.0,,,,
1963,září,Plzeň - Bolevec,13.0,53.5,,,14.6,,,1.1,,,,
1963,říjen,Plzeň - Bolevec,9.7,23.9,,,8.5,,,0.9,,,,
1963,listopad,Plzeň - Bolevec,12.0,44.2,,,7.1,,,0.8,,,,
1963,prosinec,Plzeň - Bolevec,2.8,5.7,,,-4.5,,,0.2,,,,
1963,rok,Plzeň - Bolevec,22.8,431.9,,,7.6,,,1.0,,,,
1964,leden,Plzeň - Bolevec,8.6,25.2,,,-4.9,,,0.4,,,,
1964,únor,Plzeň - Bolevec,6.6,26.0,,,-0.9,,,1.8,,,,
1964,březen,Plzeň - Bolevec,13.0,24.3,,,0.1,,,1.4,,,,
1964,duben,Plzeň - Bolevec,20.1,47.9,,,9.7,,,1.4,,,,
1964,květen,Plzeň - Bolevec,9.0,38.7,,,14.4,,,1.5,,,,
1964,červen,Plzeň - Bolevec,13.1,43.0,,222.3,19.2,,,1.6,,,,
1964,červenec,Plzeň - Bolevec,2.5,8.5,,223.8,19.3,,,1.5,,,,
1964,srpen,Plzeň - Bolevec,8.2,38.3,,143.8,16.6,,,1.6,,,,
1964,září,Plzeň - Bolevec,2.3,8.9,,184.4,13.9,,,1.6,,,,
1964,říjen,Plzeň - Bolevec,11.4,42.2,,92.5,7.3,,,1.2,,,,
1964,listopad,Plzeň - Bolevec,7.7,28.1,,17.0,4.6,,,1.7,,,,
1964,prosinec,Plzeň - Bolevec,5.1,18.1,,8.5,-0.5,,,0.8,,,,
1964,rok,Plzeň - Bolevec,20.1,349.2,,,8.2,,,1.4,,,,
1965,leden,Plzeň - Bolevec,12.1,47.7,,10.3,1.1,,,1.0,,,,
