Rok,Měsíc,Stanice,Precipitations_max,Precipitations_sum,Snow_height_max,Sunshine_sum,Temperatures_avg,Temperatures_max_max,Temperatures_min_min,Wind_avg,Arctic_days,Ice_days,Summer_days,Tropical_days
1961,leden,Přerov,11.0,29.8,,79.3,-3.1,8.0,-17.0,1.3,0.0,14.0,0.0,0.0
1961,únor,Přerov,9.4,36.2,,31.3,2.4,9.2,-7.2,0.9,0.0,0.0,0.0,0.0
1961,březen,Přerov,3.0,9.3,,124.4,6.6,21.6,-3.6,1.2,0.0,0.0,0.0,0.0
1961,duben,Přerov,29.3,54.1,,199.3,12.1,25.2,0.0,1.0,0.0,0.0,2.0,0.0
1961,květen,Přerov,14.0,69.6,,175.2,12.0,25.2,0.4,1.1,0.0,0.0,1.0,0.0
1961,červen,Přerov,36.3,118.0,,237.1,16.7,30.5,6.5,0.9,0.0,0.0,14.0,1.0
1961,červenec,Přerov,34.9,93.9,,205.6,17.0,31.6,5.1,0.8,0.0,0.0,8.0,2.0
1961,srpen,Přerov,11.3,34.3,,226.7,17.8,33.0,5.4,0.9,0.0,0.0,13.0,3.0
1961,září,Přerov,8.9,17.2,,184.7,16.3,30.2,1.8,0.6,0.0,0.0,11.0,1.0
1961,říjen,Přerov,19.2,70.8,,108.5,11.6,22.8,0.1,0.9,0.0,0.0,0.0,0.0
1961,listopad,Přerov,17.1,55.9,,54.0,4.0,14.5,-8.1,0.7,0.0,0.0,0.0,0.0
1961,prosinec,Přerov,20.6,37.9,,29.5,-2.3,15.2,-20.9,1.0,1.0,14.0,0.0,0.0
1961,rok,Přerov,36.3,627.0,,1655.6,9.3,33.0,-20.9,0.9,,,,
1962,leden,Přerov,12.5,32.6,2.0,63.6,-0.4,10.4,-13.5,2.4,0.0,6.0,0.0,0.0
1962,únor,Přerov,7.3,29.3,7.0,43.2,-1.5,9.1,-13.4,3.0,0.0,11.0,0.0,0.0
1962,březen,Přerov,14.0,75.7,7.0,94.6,0.0,17.0,-10.7,2.6,0.0,6.0,0.0,0.0
1962,duben,Přerov,13.4,57.8,0.0,155.4,10.5,28.2,-2.7,3.3,0.0,0.0,7.0,0.0
1962,květen,Přerov,39.3,167.8,0.0,150.2,11.2,24.2,-1.3,2.0,0.0,0.0,0.0,0.0
1962,červen,Přerov,20.0,29.0,0.0,231.1,14.9,31.0,1.9,2.2,0.0,0.0,10.0,3.0
1962,červenec,Přerov,18.4,66.7,0.0,229.9,16.3,30.0,3.0,1.5,0.0,0.0,10.0,1.0
1962,srpen,Přerov,36.4,81.1,0.0,262.6,17.9,31.7,3.9,1.6,0.0,0.0,18.0,3.0
1962,září,Přerov,16.0,39.7,0.0,148.1,12.5,29.1,0.6,1.8,0.0,0.0,4.0,0.0
1962,říjen,Přerov,32.8,51.4,0.0,120.5,8.1,24.4,-4.7,1.4,0.0,0.0,0.0,0.0
1962,listopad,Přerov,24.8,116.0,1.0,17.1,4.4,16.7,-3.5,2.6,0.0,0.0,0.0,0.0
1962,prosinec,Přerov,10.0,28.1,6.0,22.6,-3.9,5.1,-15.8,2.5,2.0,19.0,0.0,0.0
