Rok,Měsíc,Stanice,Precipitations_max,Precipitations_sum,Snow_height_max,Sunshine_sum,Temperatures_avg,Temperatures_max_max,Temperatures_min_min,Wind_avg,Arctic_days,Ice_days,Summer_days,Tropical_days
1961,leden,Teplice,13.3,33.6,5.0,,-3.2,7.7,-16.9,0.4,1.0,14.0,0.0,0.0
1961,únor,Teplice,10.6,56.8,9.0,,2.8,10.2,-9.2,1.0,0.0,1.0,0.0,0.0
1961,březen,Teplice,8.1,37.1,1.0,,7.0,20.4,-1.5,2.0,0.0,0.0,0.0,0.0
1961,duben,Teplice,10.9,31.0,0.0,,11.5,25.8,1.3,1.2,0.0,0.0,2.0,0.0
1961,květen,Teplice,15.7,58.3,0.0,,11.2,25.8,1.7,1.3,0.0,0.0,1.0,0.0
1961,červen,Teplice,6.6,40.6,0.0,,17.2,32.3,5.7,1.5,0.0,0.0,13.0,1.0
1961,červenec,Teplice,19.8,61.9,0.0,,15.9,33.2,7.4,1.4,0.0,0.0,6.0,4.0
1961,srpen,Teplice,26.8,56.4,0.0,,16.1,32.7,7.8,0.7,0.0,0.0,9.0,1.0
1961,září,Teplice,6.1,20.6,0.0,,15.1,29.3,5.0,0.6,0.0,0.0,11.0,0.0
1961,říjen,Teplice,11.0,35.0,0.0,,9.6,23.1,1.8,0.4,0.0,0.0,0.0,0.0
1961,listopad,Teplice,12.0,45.7,0.0,,3.1,11.1,-7.3,0.7,0.0,3.0,0.0,0.0
1961,prosinec,Teplice,15.3,42.6,2.0,,-1.9,15.4,-17.3,1.1,2.0,16.0,0.0,0.0
1961,rok,Teplice,26.8,519.6,9.0,,8.7,33.2,-17.3,1.0,,,,
1962,leden,Teplice,6.3,31.8,6.0,,0.1,9.9,-12.8,1.3,0.0,8.0,0.0,0.0
1962,únor,Teplice,14.7,52.1,8.0,,-0.3,9.2,-14.3,2.1,0.0,10.0,0.0,0.0
1962,březen,Teplice,11.9,32.0,2.0,,0.1,11.8,-8.3,0.9,0.0,1.0,0.0,0.0
1962,duben,Teplice,8.8,23.4,0.0,,9.7,29.7,-2.1,1.3,0.0,0.0,6.0,0.0
1962,květen,Teplice,7.6,32.9,0.0,,10.9,24.8,-1.9,1.4,0.0,0.0,0.0,0.0
1962,červen,Teplice,9.1,17.9,0.0,,15.3,31.8,3.4,2.2,0.0,0.0,8.0,2.0
1962,červenec,Teplice,14.0,46.1,0.0,,16.0,31.7,6.4,1.1,0.0,0.0,7.0,1.0
1962,srpen,Teplice,20.6,58.9,0.0,,16.8,32.5,7.1,1.2,0.0,0.0,10.0,2.0
1962,září,Teplice,13.0,50.4,0.0,,12.3,29.6,3.0,1.1,0.0,0.0,3.0,0.0
1962,říjen,Teplice,6.7,13.0,0.0,,7.7,22.9,-2.4,0.6,0.0,0.0,0.0,0.0
1962,listopad,Teplice,3.1,8.4,0.0,,3.9,15.3,-7.2,1.1,0.0,1.0,0.0,0.0
1962,prosinec,Teplice,13.9,41.7,7.0,,-4.3,5.6,-15.7,1.2,0.0,19.0,0.0,0.0
1962,rok,Teplice,20.6,408.6,8.0,,7.3,32.5,-15.7,1.3,,,,
1963,leden,Teplice,5.9,19.1,11.0,,-7.0,2.1,-19.2,1.2,0.0,26.0,0.0,0.0
1963,únor,Teplice,7.2,14.6,12.0,,-5.4,2.3,-18.6,0.4,0.0,19.0,0.0,0.0
1963,březen,Teplice,8.1,18.4,7.0,,1.7,14.5,-15.6,1.1,0.0,1.0,0.0,0.0
1963,duben,Teplice,4.9,17.0,0.0,,9.1,21.5,-3.5,1.2,0.0,0.0,0.0,0.0
1963,květen,Teplice,10.2,41.8,0.0,,13.4,26.0,2.0,1.3,0.0,0.0,3.0,0.0
1963,červen,Teplice,22.0,80.1,0.0,,17.2,32.2,3.4,1.7,0.0,0.0,10.0,1.0
1963,červenec,Teplice,15.6,37.4,0.0,,19.3,33.7,8.4,1.0,0.0,0.0,19.0,3.0
1963,srpen,Teplice,22.8,76.2,0.0,,17.3,33.7,8.2,1.0,0.0,0.0,10.0,6.0
1963,září,Teplice,13.0,53.5,0.0,,14.6,25.3,5.4,1.1,0.0,0.0,2.0,0.0
1963,říjen,Teplice,9.7,23.9,0.0,,8.5,20.3,-2.2,0.9,0.0,0.0,0.0,0.0
1963,listopad,Teplice,12.0,44.2,0.0,,7.1,15.8,-2.4,0.8,0.0,0.0,0.0,0.0
1963,prosinec,Teplice,2.8,5.7,2.0,,-4.5,6.5,-15.9,0.2,0.0,20.0,0.0,0.0
1963,rok,Teplice,22.8,431.9,12.0,,7.6,33.7,-19.2,1.0,,,,
1964,leden,Teplice,8.6,25.2,14.0,,-4.9,6.5,-17.4,0.4,3.0,18.0,0.0,0.0
1964,únor,Teplice,6.6,26.0,5.0,,-0.9,7.8,-14.1,1.8,0.0,9.0,0.0,0.0
1964,březen,Teplice,13.0,24.3,0.0,,0.1,12.2,-11.6,1.4,0.0,7.0,0.0,0.0
1964,duben,Teplice,20.1,47.9,0.0,,9.7,24.0,0.0,1.4,0.0,0.0,0.0,0.0
1964,květen,Teplice,9.0,38.7,0.0,,14.4,29.0,3.7,1.5,0.0,0.0,6.0,0.0
1964,červen,Teplice,13.1,43.0,0.0,222.3,19.2,33.0,6.6,1.6,0.0,0.0,15.0,4.0
1964,červenec,Teplice,2.5,8.5,0.0,223.8,19.3,33.9,4.5,1.5,0.0,0.0,21.0,9.0
1964,srpen,Teplice,8.2,38.3,0.0,143.8,16.6,32.2,5.0,1.6,0.0,0.0,9.0,4.0
1964,září,Teplice,2.3,8.9,0.0,184.4,13.9,28.0,-0.2,1.6,0.0,0.0,6.0,0.0
1964,říjen,Teplice,11.4,42.2,0.0,92.5,7.3,19.8,-2.4,1.2,0.0,0.0,0.0,0.0
1964,listopad,Teplice,7.7,28.1,0.0,17.0,4.6,13.7,-5.6,1.7,0.0,0.0,0.0,0.0
1964,prosinec,Teplice,5.1,18.1,13.0,8.5,-0.5,6.4,-9.5,0.8,0.0,12.0,0.0,0.0
1964,rok,Teplice,20.1,349.2,14.0,,8.2,33.9,-17.4,1.4,,,,
1965,leden,Teplice,12.1,47.7,6.0,10.3,1.1,9.2,-5.0,1.0,0.0,0.0,0.0,0.0
1965,únor,Teplice,4.4,28.9,16.0,,-1.6,4.0,-12.0,2.0,0.0,9.0,0.0,0.0
1965,březen,Teplice,10.0,29.2,17.0,62.4,0.9,16.6,-14.0,0.6,0.0,7.0,0.0,0.0
1965,duben,Teplice,13.2,76.8,0.0,104.5,7.7,19.0,-2.2,1.1,0.0,0.0,0.0,0.0
1965,květen,Teplice,40.9,146.6,0.0,145.9,11.9,24.4,0.6,2.0,0.0,0.0,0.0,0.0
1965,červen,Teplice,16.6,66.3,0.0,212.3,16.4,29.4,4.4,1.3,0.0,0.0,7.0,0.0
1965,červenec,Teplice,32.1,107.4,0.0,170.7,16.9,31.9,8.3,1.1,0.0,0.0,5.0,1.0
1965,srpen,Teplice,3.9,15.3,0.0,210.6,16.0,31.3,5.2,0.7,0.0,0.0,9.0,2.0
1965,září,Teplice,18.1,86.4,0.0,139.0,13.1,26.0,2.5,0.6,0.0,0.0,1.0,0.0
1965,říjen,Teplice,2.8,7.0,0.0,105.8,6.3,21.6,-4.0,0.3,0.0,0.0,0.0,0.0
