Rok,Měsíc,Stanice,Precipitations_max,Precipitations_sum,Snow_height_max,Sunshine_sum,Temperatures_avg,Temperatures_max_max,Temperatures_min_min,Wind_avg,Arctic_days,Ice_days,Summer_days,Tropical_days
1961,duben,Vizovice,42.4,91.8,0.0,,11.3,26.0,-3.0,1.5,0.0,0.0,1.0,0.0
1961,květen,Vizovice,21.3,100.6,0.0,,11.3,25.8,1.2,1.3,0.0,0.0,1.0,0.0
1961,červen,Vizovice,32.3,128.7,0.0,,17.4,30.1,5.0,1.1,0.0,0.0,12.0,1.0
1961,červenec,Vizovice,15.0,74.6,0.0,,15.9,30.8,3.7,1.4,0.0,0.0,8.0,3.0
1961,srpen,Vizovice,21.5,42.1,0.0,,16.6,33.4,5.0,1.2,0.0,0.0,15.0,4.0
1961,září,Vizovice,3.6,10.1,0.0,,14.4,30.2,1.4,1.2,0.0,0.0,14.0,2.0
1961,říjen,Vizovice,28.0,66.9,0.0,,10.5,24.0,0.0,1.7,0.0,0.0,0.0,0.0
1961,listopad,Vizovice,30.5,62.0,7.0,,3.9,15.3,-7.6,1.4,0.0,0.0,0.0,0.0
1961,prosinec,Vizovice,19.9,64.1,18.0,,-3.2,13.5,-27.6,3.0,2.0,15.0,0.0,0.0
1962,leden,Vizovice,6.3,32.1,5.0,,-0.7,8.6,-12.3,2.2,0.0,5.0,0.0,0.0
1962,únor,Vizovice,7.4,44.2,19.0,,-1.9,8.5,-17.0,2.6,0.0,7.0,0.0,0.0
1962,březen,Vizovice,12.4,66.6,21.0,,-0.4,15.5,-14.4,2.4,0.0,4.0,0.0,0.0
1962,duben,Vizovice,14.7,66.4,0.0,,9.8,28.9,-2.0,2.1,0.0,0.0,7.0,0.0
1962,květen,Vizovice,24.3,144.9,0.0,,10.6,23.8,-1.8,1.5,0.0,0.0,0.0,0.0
1962,červen,Vizovice,11.7,25.9,0.0,,14.4,31.1,1.0,1.5,0.0,0.0,11.0,3.0
1962,červenec,Vizovice,14.3,53.7,0.0,,15.9,30.9,2.2,1.3,0.0,0.0,11.0,2.0
1962,srpen,Vizovice,6.0,26.6,0.0,,17.4,33.5,3.0,1.8,0.0,0.0,20.0,5.0
1962,září,Vizovice,14.2,52.4,0.0,,12.1,30.5,-0.6,1.4,0.0,0.0,4.0,1.0
1962,říjen,Vizovice,34.0,46.8,0.0,,8.1,24.6,-3.0,1.5,0.0,0.0,0.0,0.0
1962,listopad,Vizovice,34.6,121.8,7.0,,4.6,17.6,-3.3,3.7,0.0,1.0,0.0,0.0
1962,prosinec,Vizovice,23.5,62.5,15.0,,-4.6,5.5,-18.0,2.3,2.0,16.0,0.0,0.0
1962,rok,Vizovice,34.6,743.9,21.0,,7.1,33.5,-18.0,2.0,,,,
1963,leden,Vizovice,4.0,21.0,16.0,,-9.1,6.0,-22.4,1.6,4.0,25.0,0.0,0.0
1963,únor,Vizovice,11.5,24.8,35.0,,-6.2,4.7,-22.4,2.1,0.0,13.0,0.0,0.0
1963,březen,Vizovice,16.1,31.7,27.0,,0.5,12.0,-19.5,1.7,0.0,2.0,0.0,0.0
1963,duben,Vizovice,14.0,25.6,0.0,,9.4,23.5,-5.8,3.2,0.0,0.0,0.0,0.0
1963,květen,Vizovice,45.4,131.7,0.0,,13.2,26.0,3.4,1.7,0.0,0.0,2.0,0.0
1963,červen,Vizovice,33.1,141.1,0.0,,17.1,31.0,1.0,1.9,0.0,0.0,8.0,1.0
1963,červenec,Vizovice,8.1,21.6,0.0,,18.8,33.5,6.2,1.6,0.0,0.0,20.0,7.0
1963,srpen,Vizovice,30.3,106.7,0.0,,17.9,32.7,5.8,1.9,0.0,0.0,11.0,5.0
1963,září,Vizovice,33.5,106.0,0.0,,14.9,27.5,1.2,1.5,0.0,0.0,5.0,0.0
1963,říjen,Vizovice,14.3,58.2,0.0,,7.7,19.5,-3.2,2.0,0.0,0.0,0.0,0.0
1963,listopad,Vizovice,10.9,61.6,0.0,,8.1,19.8,-2.8,3.3,0.0,0.0,0.0,0.0
1963,prosinec,Vizovice,4.4,10.2,5.0,,-5.0,7.9,-17.0,2.1,0.0,22.0,0.0,0.0
1963,rok,Vizovice,45.4,740.2,35.0,,7.3,33.5,-22.4,2.0,,,,
1964,leden,Vizovice,1.5,7.4,6.0,,-6.8,2.0,-17.8,1.8,0.0,20.0,0.0,0.0
1964,únor,Vizovice,4.2,27.2,4.0,,-1.5,8.2,-19.4,2.5,0.0,8.0,0.0,0.0
1964,březen,Vizovice,7.5,27.3,6.0,,-0.1,14.0,-13.1,2.6,0.0,7.0,0.0,0.0
1964,duben,Vizovice,5.5,16.5,0.0,,9.1,22.6,-3.5,3.0,0.0,0.0,0.0,0.0
1964,květen,Vizovice,6.8,40.5,0.0,,13.0,27.7,0.4,1.8,0.0,0.0,4.0,0.0
1964,červen,Vizovice,13.5,50.1,0.0,,18.9,31.3,5.8,2.3,0.0,0.0,15.0,3.0
1964,červenec,Vizovice,45.5,107.9,0.0,,17.9,31.2,4.8,1.8,0.0,0.0,16.0,3.0
1964,srpen,Vizovice,24.5,70.5,0.0,,15.5,29.5,3.8,2.0,0.0,0.0,9.0,0.0
1964,září,Vizovice,4.9,19.2,0.0,,13.1,26.8,-0.6,2.0,0.0,0.0,2.0,0.0
1964,říjen,Vizovice,21.1,82.2,0.0,,8.2,22.2,-0.8,2.8,0.0,0.0,0.0,0.0
1964,listopad,Vizovice,10.5,44.9,5.0,,4.3,14.0,-4.7,1.8,0.0,0.0,0.0,0.0
1964,prosinec,Vizovice,5.3,39.1,8.0,,-0.5,9.0,-12.6,2.4,0.0,8.0,0.0,0.0
1964,rok,Vizovice,45.5,532.8,8.0,,7.6,31.3,-19.4,2.2,,,,
1965,leden,Vizovice,8.5,44.2,13.0,,-0.1,7.7,-14.2,2.3,0.0,3.0,0.0,0.0
1965,únor,Vizovice,4.6,18.5,12.0,,-4.8,4.5,-20.0,2.6,0.0,16.0,0.0,0.0
1965,březen,Vizovice,6.5,27.0,9.0,,2.8,16.0,-10.8,2.6,0.0,3.0,0.0,0.0
1965,duben,Vizovice,17.8,99.8,0.0,,6.7,17.9,-5.7,2.1,0.0,0.0,0.0,0.0
1965,květen,Vizovice,24.4,131.6,0.0,,11.2,25.5,-2.8,2.0,0.0,0.0,1.0,0.0
1965,červen,Vizovice,38.6,147.6,0.0,,16.0,33.0,2.6,2.0,0.0,0.0,8.0,2.0
1965,červenec,Vizovice,16.9,98.6,0.0,,16.7,30.3,4.2,1.7,0.0,0.0,6.0,2.0
1965,srpen,Vizovice,24.9,54.5,0.0,,15.4,29.0,3.8,2.3,0.0,0.0,9.0,0.0
1965,září,Vizovice,14.9,65.1,0.0,,14.9,26.2,2.8,3.0,0.0,0.0,2.0,0.0
1965,říjen,Vizovice,5.0,12.5,0.0,,6.3,24.4,-5.6,1.3,0.0,0.0,0.0,0.0
1965,listopad,Vizovice,12.6,47.5,2.0,,0.8,15.5,-12.2,2.1,0.0,8.0,0.0,0.0
1965,prosinec,Vizovice,20.5,68.4,8.0,,0.8,9.0,-11.4,2.3,0.0,3.0,0.0,0.0
1965,rok,Vizovice,38.6,815.3,13.0,,7.2,33.0,-20.0,2.2,,,,
1966,leden,Vizovice,7.2,23.8,16.0,,-5.0,8.0,-19.0,2.2,0.0,21.0,0.0,0.0
1966,únor,Vizovice,18.2,62.0,9.0,,5.1,15.5,-4.6,2.4,0.0,0.0,0.0,0.0
1966,březen,Vizovice,11.5,49.4,7.0,,2.5,13.2,-9.8,2.0,0.0,1.0,0.0,0.0
1966,duben,Vizovice,21.9,86.3,0.0,,10.2,21.1,-3.4,2.5,0.0,0.0,0.0,0.0
1966,květen,Vizovice,17.5,97.4,0.0,,13.0,26.0,-0.7,1.8,0.0,0.0,3.0,0.0
1966,červen,Vizovice,28.1,142.6,0.0,,16.4,29.2,0.6,1.4,0.0,0.0,11.0,0.0
1966,červenec,Vizovice,56.3,176.0,0.0,,16.9,29.9,5.4,1.7,0.0,0.0,9.0,0.0
1966,srpen,Vizovice,25.3,103.4,0.0,,16.4,30.8,5.1,2.0,0.0,0.0,6.0,3.0
1966,září,Vizovice,11.8,23.4,0.0,,13.0,25.9,0.1,1.5,0.0,0.0,1.0,0.0
1966,říjen,Vizovice,17.3,34.1,0.0,,13.5,25.4,-0.8,2.9,0.0,0.0,3.0,0.0
1966,listopad,Vizovice,23.7,63.2,10.0,,3.8,16.6,-6.7,2.7,0.0,0.0,0.0,0.0
1966,prosinec,Vizovice,21.0,107.0,8.0,,0.2,11.9,-9.6,1.9,0.0,1.0,0.0,0.0
1966,rok,Vizovice,56.3,968.6,16.0,,8.8,30.8,-19.0,2.1,,,,
