Rok,Měsíc,Stanice,Precipitations_max,Precipitations_sum,Snow_height_max,Sunshine_sum,Temperatures_avg,Temperatures_max_max,Temperatures_min_min,Wind_avg,Arctic_days,Ice_days,Summer_days,Tropical_days
1961,leden,Vyšší Brod,7.5,19.2,13.0,80.3,-5.2,7.8,-22.4,1.5,0.0,12.0,0.0,0.0
1961,únor,Vyšší Brod,17.5,53.6,11.0,92.1,1.4,14.3,-11.0,2.2,0.0,0.0,0.0,0.0
1961,březen,Vyšší Brod,6.2,39.1,6.0,158.7,4.0,20.3,-6.1,3.2,0.0,0.0,0.0,0.0
1961,duben,Vyšší Brod,39.1,105.6,0.0,175.1,9.3,24.5,-2.1,1.8,0.0,0.0,0.0,0.0
1961,květen,Vyšší Brod,20.8,111.5,0.0,139.3,9.2,25.2,-1.1,3.0,0.0,0.0,1.0,0.0
1961,červen,Vyšší Brod,37.7,87.5,0.0,232.1,14.6,30.2,2.6,1.7,0.0,0.0,9.0,1.0
1961,červenec,Vyšší Brod,22.3,57.9,0.0,225.7,13.9,30.1,0.4,2.4,0.0,0.0,6.0,1.0
1961,srpen,Vyšší Brod,38.2,87.9,0.0,225.3,14.8,32.3,2.6,2.1,0.0,0.0,11.0,3.0
1961,září,Vyšší Brod,16.2,36.7,0.0,219.4,13.2,30.0,-0.9,1.4,0.0,0.0,12.0,1.0
1961,říjen,Vyšší Brod,12.9,49.3,0.0,136.3,7.0,23.0,-2.0,1.5,0.0,0.0,0.0,0.0
1961,listopad,Vyšší Brod,11.5,29.7,12.0,58.0,1.8,17.2,-10.7,1.4,0.0,0.0,0.0,0.0
1961,prosinec,Vyšší Brod,19.9,50.9,14.0,57.0,-3.7,16.5,-24.1,2.2,1.0,12.0,0.0,0.0
1961,rok,Vyšší Brod,39.1,728.9,14.0,1799.3,6.7,32.3,-24.1,2.0,,,,
1962,leden,Vyšší Brod,14.4,60.6,35.0,59.0,-2.8,8.2,-23.1,2.5,0.0,10.0,0.0,0.0
1962,únor,Vyšší Brod,29.1,83.3,13.0,44.4,-1.8,8.7,-19.7,3.8,0.0,9.0,0.0,0.0
1962,březen,Vyšší Brod,10.4,51.5,8.0,118.6,-1.6,15.5,-14.7,1.7,0.0,7.0,0.0,0.0
1962,duben,Vyšší Brod,5.5,41.4,2.0,160.4,6.6,25.0,-4.1,2.2,0.0,0.0,1.0,0.0
1962,květen,Vyšší Brod,30.9,146.5,0.0,166.1,9.1,25.0,-2.9,2.1,0.0,0.0,1.0,0.0
1962,červen,Vyšší Brod,23.6,51.5,0.0,217.9,12.2,28.8,-1.6,1.6,0.0,0.0,7.0,0.0
1962,červenec,Vyšší Brod,9.0,43.3,0.0,186.9,14.2,33.2,0.4,1.6,0.0,0.0,6.0,2.0
1962,srpen,Vyšší Brod,6.8,22.7,0.0,258.1,15.4,31.3,1.5,1.6,0.0,0.0,14.0,2.0
